"algorithms","size","decayPos.pre.RES","decayPos.RES","explinearPos.pre.RES","explinearPos.RES","logisticPos.pre.RES","logisticPos.RES","decayNeg.pre.RES","decayNeg.RES"
"mFlipHC","75","0.82994","0.180847963264051","0.80512","0.181281886635678","0.81971","0.181080264622599","1.22072","0.193865888417167"
"mFlipHC","100","0.86971","0.132060984584068","1.15868","0.133681629960043","0.8272","0.127906261794493","0.84591","0.136914122538487"
"mFlipHC","125","0.89567","0.138062863528863","1.22444","0.118584802914949","0.8108","0.119266975877494","1.01265","0.124893033369069"
"mFlipHC","150","0.89814","0.114168969535275","2.06547","0.0813407047820954","0.74262","0.0832265613158892","1.12898","0.0839254663198443"
"mFlipHC","175","0.86537","0.110558524680118","0.92593","0.0779450883038619","0.72574","0.0799746864092822","1.01915","0.0814570157685779"
"mFlipHC","200","0.86661","0.0883970227116861","0.73538","0.0567670746731903","0.70565","0.0583231812674148","0.70292","0.0574017548469022"
"mFlipHC","225","0.99122","0.100505849663468","0.78531","0.0536334436028283","0.83007","0.0574770889609991","0.89648","0.0520809593855234"
"mFlipHC","250","1.1676","0.107087163210201","1.69283","0.0485541904515496","1.2011","0.0542342165675028","1.20104","0.0466405709898662"
"1FlipHCrs","20","0.85103","0.446237709972174","25.91892","0.445387627787107","0.8514","0.443796008642125","0.78065","0.44864524776536"
"1FlipHCrs","50","1.36742","0.217256020079773","0.75033","0.220102910813658","0.77686","0.216094226665341","0.83811","0.227968882676626"
"1FlipHCrs","75","1.05748","0.180889629083251","0.87388","0.166418899061181","0.77484","0.164010810380476","0.84752","0.171910087116111"
"1FlipHCrs","100","0.88551","0.126522205438667","2.47409","0.114492676476317","0.85008","0.109891499412798","0.92407","0.1214158204171"
"1FlipHCrs","125","0.87348","0.122945330397547","2.4468","0.101707746720867","0.86228","0.0994236290861004","0.98246","0.107455509097445"
"1FlipHCrs","150","0.87155","0.11212333647355","1.1534","0.102374506056789","0.85929","0.0932437761655844","1.01866","0.107523413138124"
"1FlipHCrs","175","0.91062","0.0838841424348141","0.89631","0.0709388390280075","0.85181","0.0615642343979514","0.92772","0.0794611825452996"
"1FlipHCrs","200","0.96584","0.0907571426578234","0.92439","0.0584754658911633","0.886","0.0543365677997414","0.90275","0.0616330164042148"
"1FlipHCrs","225","1.03322","0.0920219073898479","1.68902","0.0547429281150254","1.03557","0.0503786620911846","0.94915","0.0577203833653575"
"1FlipHCrs","250","1.34284","0.0995240906751622","4.22066","0.0581162620396863","1.62593","0.0525774902957407","1.18884","0.0609117630022364"
"2FlipHCrs","20","1.07638","0.363076510818274","10.93266","0.363084221944288","0.85378","0.361882332255822","1.0517","0.362764541608687"
"2FlipHCrs","50","1.01097","0.161720071214943","0.66975","0.158945245606829","0.61804","0.155345894570401","0.72381","0.156778879755129"
"2FlipHCrs","75","0.85086","0.11040870512081","0.65129","0.0981263115667267","0.56904","0.0966063969319967","0.68359","0.0953238292752015"
"2FlipHCrs","100","0.69349","0.0932532007523692","0.88454","0.085482780388863","0.68568","0.0796968464488722","0.67768","0.0813171243747052"
"2FlipHCrs","125","0.65114","0.0851731379379476","0.66405","0.0715465816224169","0.7084","0.0676314701193586","0.6408","0.0672556231702379"
"2FlipHCrs","150","0.6731","0.0832420770547787","1.48604","0.06590694974387","0.65015","0.0637201221141413","0.61997","0.0623707157637248"
"2FlipHCrs","175","0.6715","0.062599652844292","0.66045","0.0511276570784958","0.59895","0.0418426184807224","0.69525","0.0449913084814435"
"2FlipHCrs","200","0.67277","0.0604625394334104","0.61041","0.0466659189230824","0.58234","0.0381234234200741","0.55921","0.0401066258229502"
"2FlipHCrs","225","0.81513","0.0533122158669977","0.87106","0.0430597379882784","0.77097","0.0334582131936458","0.75791","0.0360907883769586"
"2FlipHCrs","250","1.2989","0.0626502000194995","2.41509","0.0422972266893488","1.19174","0.0355507201766788","0.99892","0.0355641221581983"
"mFlipHCrs","20","5.90064","0.371760039444173","12.25419","0.372150858141898","145.9392","0.371823525637083","369.61902","0.374326692140505"
"mFlipHCrs","50","2.61736","0.197804748873264","0.68075","0.204675224026494","0.72592","0.199282022426333","40.58675","0.203404267203524"
"mFlipHCrs","75","1.12608","0.129556316293008","0.64316","0.124095569786453","0.63089","0.120044222141239","6.78739","0.122144504361957"
"mFlipHCrs","100","0.7298","0.107562162513503","0.78789","0.111255799124393","0.76778","0.101827859488603","0.82735","0.110385094526509"
"mFlipHCrs","125","0.92576","0.0992833910599155","0.82184","0.100565762253197","0.78298","0.0909147988130951","0.81747","0.0972389632765638"
"mFlipHCrs","150","0.73088","0.0874300166537905","0.83657","0.103804415295171","0.72507","0.0846279416479963","0.90884","0.0959871498461611"
"mFlipHCrs","175","0.9358","0.0728385437714656","0.80278","0.0854017411368384","0.73082","0.0646125779107386","2.32824","0.078787150345822"
"mFlipHCrs","200","0.85951","0.0608943698572599","0.79298","0.0862992365058248","0.76196","0.0582795520848068","0.77738","0.0760301575094381"
"mFlipHCrs","225","0.89838","0.0614110256372701","1.18982","0.0749556225593044","1.08288","0.0510515132852468","1.2893","0.065217650187441"
"mFlipHCrs","250","1.56185","0.0658313926564593","2.2007","0.0821646551512432","1.7525","0.0549603122336072","1.83257","0.0716340954460814"
