"algorithms","size","decayPos.pre.RES","decayPos.RES","explinearPos.pre.RES","explinearPos.RES","logisticPos.pre.RES","logisticPos.RES","decayNeg.pre.RES","decayNeg.RES"
"1FlipHC","20","1.02934","0.570822480580483","1.03555","0.595636937767651","1.04413","0.578790761760896","1.09513","0.593794239332978"
"1FlipHC","50","0.93464","0.244282541796425","0.98343","0.30608715553411","0.94343","0.261875399139487","1.01722","0.286104246282751"
"1FlipHC","75","0.95835","0.167924185231549","0.98356","0.179838917408865","0.93206","0.160292038918232","1.05418","0.170895004510388"
"1FlipHC","100","0.92399","0.142658677494222","0.9345","0.158553326605393","0.88712","0.135343762741757","0.99125","0.148622989221731"
"1FlipHC","125","0.93091","0.128806505070597","0.91832","0.131109660627049","0.84634","0.10787327735112","0.91702","0.116028426035589"
"1FlipHC","150","1.00248","0.130744061117994","0.9618","0.108599509447585","0.88277","0.0967700299150737","0.99139","0.100176690393623"
"1FlipHC","175","0.88897","0.107759849083879","0.88702","0.0875957062946071","0.77194","0.0711649196777871","0.85342","0.0732613175604239"
"1FlipHC","200","0.92979","0.0870122106529646","0.88934","0.0584629137177911","0.789","0.0512025450138717","0.83985","0.0496174314524904"
"1FlipHC","225","0.99548","0.099679470775026","1.02297","0.0684175969302893","0.83135","0.0548588960882718","0.91721","0.0507014181883312"
"1FlipHC","250","1.09098","0.106184735269504","1.26765","0.0645880731131914","0.85923","0.0531810276550528","1.09817","0.0478437323257028"
"2FlipHC","20","0.84856","0.419724130577441","1.9927","0.430898545023117","0.99811","0.431999316179604","1.01473","0.442320406719109"
"2FlipHC","50","0.83252","0.22777797072259","1.00804","0.24333132645377","0.80914","0.242722839719431","0.91703","0.26094272904591"
"2FlipHC","75","0.81689","0.144180216840819","0.82174","0.150181326484244","0.78949","0.14845824967354","0.82612","0.162274590500677"
"2FlipHC","100","0.84323","0.135164358858991","1.07064","0.129409370852614","0.78953","0.127555010144301","0.81371","0.136814062699995"
"2FlipHC","125","0.83733","0.137595994096107","1.94616","0.107759390004499","0.74409","0.10980538799487","0.84837","0.10969003560333"
"2FlipHC","150","0.82949","0.113400986949601","1.62817","0.0838817355732099","0.79851","0.0843870766149921","0.82032","0.0852495992207196"
"2FlipHC","175","0.91266","0.121147583339927","1.30107","0.071739983463129","0.84514","0.0755256826897807","0.81201","0.0702061187678574"
"2FlipHC","200","0.97274","0.0924804150239946","0.7751","0.0484144700572084","0.98676","0.053771736806594","0.7728","0.0472889353153716"
"2FlipHC","225","1.02349","0.101706703226337","1.00763","0.0520179750136964","1.23028","0.0570520681930343","0.84415","0.0500636122352878"
"2FlipHC","250","1.6381","0.119979102647989","2.21085","0.0551446095306562","2.33639","0.0622358174564854","1.68798","0.0517780471752233"
"mFlipHC","20","0.79164","0.439073697151117","3.88798","0.434810984070378","0.79634","0.43527196880991","2.3026","0.436422183437297"
"mFlipHC","50","0.86907","0.257485936184284","1.03538","0.268118509309971","0.8632","0.26781399369704","0.91299","0.285032993101147"
