"model","instance_file","a","b","c","d","residuals"
"decayModelpositive","ts0r0b/symmetric/att48","-0.00191137995846068","3.47306712874064","-0.0675695067837651","1.17476112479376","9.48120419580291"
"decayModelpositive","ts0r0b/symmetric/bayg29","-0.00262088386506431","1.72296732722427","-0.063248064370612","1.43168420340349","7.88235004191986"
"decayModelpositive","ts0r0b/symmetric/bays29","-0.00254325483694852","1.79281029574641","-0.0646809696473872","1.46796216729854","9.37119534817695"
"decayModelpositive","ts0r0b/symmetric/berlin52","-0.0407685460542127","2.78627721582223","-0.058077277854119","1.15403300861455","22.2694382965381"
"decayModelpositive","ts0r0b/symmetric/brazil58","-0.00880942460017319","3.67811606930613","-0.0635677282949329","1.13311295114978","14.2082529212112"
"decayModelpositive","ts0r0b/symmetric/burma14","0.00179483742770947","0.865971848667479","-0.116773620560075","1.94021011969393","4.27707441178375"
"decayModelpositive","ts0r0b/symmetric/dantzig42","-0.0138205145937997","3.10827687348889","-0.0704451848613576","1.19379341622304","9.17154159815234"
"decayModelpositive","ts0r0b/symmetric/eil51","0.00930786965162374","2.66345978541791","-0.0453457213582905","1.26149076511761","7.35215311447535"
"decayModelpositive","ts0r0b/symmetric/eil76","0.00822751457246841","3.46305519485014","-0.0393311454396645","1.13246836688907","11.0375731963226"
"decayModelpositive","ts0r0b/symmetric/fri26","-0.000262749938894889","1.69906925442097","-0.0718176822255044","1.42410493538857","7.11552671472035"
"decayModelpositive","ts0r0b/symmetric/gr17","0.00168172104625181","1.17589664722161","-0.102947305242805","1.7770171260478","4.59390548012798"
"decayModelpositive","ts0r0b/symmetric/gr21","-0.00167738784198382","1.29215467353338","-0.0220837539083609","2.17025504895318","16.1203397791627"
"decayModelpositive","ts0r0b/symmetric/gr24","0.00812197224731866","1.59750138803227","-0.0717082128835478","1.50413040085581","5.46455023701295"
"decayModelpositive","ts0r0b/symmetric/gr48","-0.002578625315139","2.87383414388315","-0.042831448320971","1.28768064178006","12.0573018793386"
"decayModelpositive","ts0r0b/symmetric/gr96","-0.0176178735381313","5.40873853754644","-0.0356241112711695","1.08686295795666","20.1214077213327"
"decayModelpositive","ts0r0b/symmetric/hk48","-0.00491159753661422","3.00646208203926","-0.0682414873150415","1.14388931287638","10.5991651420977"
"decayModelpositive","ts0r0b/symmetric/pr76","-0.0124219507526788","4.07465503741008","-0.0359370987032199","1.14889274534259","23.6151700993021"
