"C.dat.median[, 1]","X10_100","X10_1000","X10_10000","X100_1000","X100_10000","X50_100","X50_1000","X50_10000"
"burma14.ts0r0b",1.178,1.178,1.173,1.178,1.178,1.178,1.178,1.178
"ulysses16.ts0r0b",1.558,8.914,9.488,3.579,3.579,1.149,3.579,3.579
"gr17.ts0r0b",1.092,52.036,94.331,96.614,96.614,1.063,96.614,96.614
"gr21.ts0r0b",1.518,24.536,24.173,4.82,4.82,1.138,4.82,4.82
"ulysses22.ts0r0b",11.15,201.377,251.553,2.355,2.355,1.117,2.355,2.355
"gr24.ts0r0b",1.238,656.326,767.163,21.964,21.964,1.008,21.964,21.964
"fri26.ts0r0b",4.394,34.13,761.78,1.07,30.682,1.07,1.07,30.682
"bayg29.ts0r0b",9.568,323.436,1848.015,1.058,4.329,1.058,1.058,4.329
"bays29.ts0r0b",7.254,160.034,1661.836,1.16,11.971,1.16,1.16,11.971
"dantzig42.ts0r0b",2.677,627.834,10895.76,1.124,2.605,1.124,1.124,2.605
"swiss42.ts0r0b",2.43,88.405,1345.664,1.143,2.914,1.143,1.143,2.914
"att48.ts0r0b",1.804,724.502,8040.806,1.115,1.794,1.115,1.115,1.794
"gr48.ts0r0b",13.702,2276.36,91667.925,1.087,4.326,1.087,1.087,4.326
"hk48.ts0r0b",1.51,549.986,3624.891,1.132,2.878,1.132,1.132,2.878
"eil51.ts0r0b",5.441,1733.833,12610.89,1.144,2.353,1.144,1.144,2.353
"berlin52.ts0r0b",4.309,972.016,4746.17,1.117,0.437,1.117,1.117,0.437
"brazil58.ts0r0b",8.154,2841.121,19018.826,1.087,0.395,1.153,1.153,0.417
"st70.ts0r0b",17.487,7977.656,17256.306,1.109,0.941,3.872,3.872,13.055
"eil76.ts0r0b",14.204,3051.857,25198.878,1.039,0.928,3.856,3.856,21.863
"pr76.ts0r0b",8.007,1937.105,16203.195,1.202,1.278,6.211,6.211,47.246
"gr96.ts0r0b",8.834,5930.612,5697.001,1.152,1.152,71.364,71.364,71.364
"burma14.ts10r10b",1.332,1.332,1.283,1.168,1.168,1.168,1.168,1.168
"ulysses16.ts10r10b",9.205,83.382,95.099,1.302,1.302,2.384,3.838,3.838
"gr17.ts10r10b",2.853,92.196,96.07,66.341,66.341,1.166,66.341,66.341
"gr21.ts10r10b",1.614,7.954,8.508,1.118,1.118,1.118,1.118,1.118
"ulysses22.ts10r10b",13.595,511.859,620.682,0.973,0.973,1.02,1,1
"gr24.ts10r10b",18.972,246.721,346.868,1.138,1.138,1.094,1.623,1.623
"fri26.ts10r10b",6.006,2564.574,2961.754,1.302,1.302,1.072,1.649,1.649
"bayg29.ts10r10b",18.698,2810.669,3382.812,1.222,1.222,1.168,1.193,1.193
"bays29.ts10r10b",25.89,14872.998,20244.713,7.646,8.811,1.152,22.844,30.047
"dantzig42.ts10r10b",9.323,13117.263,18905.913,8.064,11.992,1.04,8.765,11.249
"swiss42.ts10r10b",6.445,2513.154,39651.157,1.139,1.558,1.068,2.082,4.391
"att48.ts10r10b",8.908,6307.809,240604.786,1.194,8.822,1.176,1.236,15.064
"gr48.ts10r10b",8.762,6704.544,45848.544,1.582,7.13,4.025,17.047,67.516
"hk48.ts10r10b",4.777,4158.124,16109.533,9.935,18.408,2.847,57.104,58.161
"eil51.ts10r10b",17.294,2846.829,148319.735,1.201,82.557,1.185,1.232,82.557
"berlin52.ts10r10b",4.235,1216.07,4638.987,1.308,4.518,1.384,1.899,6.902
"brazil58.ts10r10b",6.238,84761.572,264199.282,2.291,6.219,1.012,28.035,56.149
"st70.ts10r10b",6.571,6437.787,99217.781,20.059,65.634,3.057,58.99,205.521
"eil76.ts10r10b",16.218,3578.37,21791.31,1.242,56.664,2.736,3.788,177.417
"pr76.ts10r10b",4.148,2462.043,4314.201,1.71,2.007,6.849,20.183,65.366
"gr96.ts10r10b",6.751,2900.952,4387.303,0.942,2.183,67.176,121.305,212.767
"burma14.ts1e7r0b",1.029,1.105,1.105,0.987,0.987,0.987,0.987,0.987
"ulysses16.ts1e7r0b",21.189,122.177,142.399,1.183,1.183,5.425,5.425,5.425
"gr17.ts1e7r0b",3.171,33.052,41.826,59.959,59.959,1.296,59.959,59.959
"gr21.ts1e7r0b",1.891,1.602,2.356,0.96,0.96,0.96,0.96,0.96
"ulysses22.ts1e7r0b",9.948,197.794,256.954,1.019,1.019,1.184,1.146,1.146
"gr24.ts1e7r0b",5.294,272.381,327.571,1.354,1.354,1.011,1.556,1.556
"fri26.ts1e7r0b",4.998,221.537,1045.939,1.225,1.195,1.143,1.143,2.603
"bayg29.ts1e7r0b",9.234,333.373,516.195,1.023,1.072,1.063,1.063,1.016
"bays29.ts1e7r0b",5.557,203.49,2335.009,1.261,4.337,1.138,1.591,5.924
"dantzig42.ts1e7r0b",4.071,905.034,6796.596,1.023,6.692,1.498,1.498,8.711
"swiss42.ts1e7r0b",3.826,241.595,2366.934,1.034,3.057,1.178,1.178,4.943
"att48.ts1e7r0b",9.363,5588.529,12012.414,1.739,9.878,1.309,4.402,23.243
"gr48.ts1e7r0b",10.254,2623.243,26265.948,1.197,3.273,1.668,1.617,7.252
"hk48.ts1e7r0b",8.045,5564.385,9931.906,1.693,3.424,1.256,9.559,15.09
"eil51.ts1e7r0b",6.36,670.518,9609.236,1.124,7.87,1.231,1.231,8.186
"berlin52.ts1e7r0b",4.157,3502.023,14182.365,1.118,1.173,1.07,1.101,1.719
"brazil58.ts1e7r0b",13.538,41381.268,362111.139,2.437,2.142,1.031,8.535,9.016
"st70.ts1e7r0b",5.614,4033.781,27981.887,1.035,5.404,4.643,4.643,31.285
"eil76.ts1e7r0b",5.498,5867.315,24130.838,1.164,16.864,4.101,4.101,66.52
"pr76.ts1e7r0b",8.352,4499.374,134598.118,6.994,11.008,11.209,126.702,373.41
"gr96.ts1e7r0b",24.523,3196.324,3876.393,7.103,7.103,39.259,81.329,81.329
"burma14.ts0r0f",11.871,328.341,288.801,1.134,1.134,1.134,1.134,1.134
"ulysses16.ts0r0f",20.002,3502.131,3558.913,144.201,144.205,1.449,144.201,144.201
"gr17.ts0r0f",14.749,2173.627,2036.888,177.312,177.312,1.027,177.312,177.312
"gr21.ts0r0f",3.962,1139.484,1092.896,1.247,1.247,2.023,8.546,8.546
"ulysses22.ts0r0f",16.168,8467.571,8323.335,1.522,1.522,3.162,53.707,53.707
"gr24.ts0r0f",6.289,1609.197,2062.252,218.957,198.682,1.156,296.365,389.295
"fri26.ts0r0f",5.519,1412.32,1941.689,1.026,31.151,4.133,4.133,95.768
"bayg29.ts0r0f",4.792,2213.695,3062.616,1.358,39.431,55.353,64.534,1296.362
"bays29.ts0r0f",10.9,2307.173,3563.574,1.136,40.795,18.395,18.395,727.264
"dantzig42.ts0r0f",16.49,3150.418,1790.991,18.914,1098.05,18.796,134.159,667.007
"swiss42.ts0r0f",10.741,2204.986,3304.146,7.107,247.181,29.129,244.281,1808.475
"att48.ts0r0f",38.527,5311.608,3418.493,124.957,1296.495,10.51,389.443,2946.435
"gr48.ts0r0f",16.593,5997.218,2756.861,24.351,702.109,12.37,565.574,4131.659
"hk48.ts0r0f",9.888,2571.608,12721.956,38.48,1054.491,9.309,380.259,1367.276
"eil51.ts0r0f",22.075,7349.329,4131.111,43.331,994.781,21.499,1401.937,6689.647
"berlin52.ts0r0f",4.874,3651.7,2942.858,150.135,352.5,19.378,1072.798,1827.804
"brazil58.ts0r0f",12.028,9609.231,5885.9,254.888,3683.183,18.043,1536.877,1695.435
"st70.ts0r0f",8.373,11414.531,8605.913,284.614,8728.768,10.244,1607.69,4530.256
"eil76.ts0r0f",5.473,5487.9,33917.941,300.496,4175.219,10.633,1906.101,1194.085
"pr76.ts0r0f",6.07,10764.412,3811.712,903.921,5227.488,21.515,2678.119,2745.519
"gr96.ts0r0f",6.121,24611.439,22124.18,2095.559,2095.559,10.722,6100.988,6100.988
"burma14.ts10r10f",7.752,190.764,179.805,1.223,1.223,1.223,1.223,1.223
"ulysses16.ts10r10f",8.012,5366.81,5178.916,1.084,1.084,3.486,4.306,4.306
"gr17.ts10r10f",5.822,1380.561,1281.402,436.601,436.583,1.072,585.022,585.022
"gr21.ts10r10f",11.395,1519.426,1505.11,1.173,1.173,1.37,1.37,1.37
"ulysses22.ts10r10f",15.438,11477.268,12647.387,1.435,1.435,7.725,11.895,11.895
"gr24.ts10r10f",5.65,3654.92,3403.092,18.375,18.385,7.077,301.886,301.886
"fri26.ts10r10f",4.737,2594.889,2451.001,14.256,14.231,21.182,1038.24,1038.24
"bayg29.ts10r10f",35.551,4505.895,4220.181,2.281,2.281,96.5,205.186,205.186
"bays29.ts10r10f",5.85,12265.573,14371.329,146.838,146.838,68.943,4963.258,4963.258
"dantzig42.ts10r10f",15.142,5119.816,10187.403,292.113,7094.793,31.265,786.404,14092.102
"swiss42.ts10r10f",20.605,8458.391,9100.889,542.143,1070.511,27.889,1537.4,2938.627
"att48.ts10r10f",9.876,7230.602,8855.609,251.168,8391.676,13.81,720.614,13942.787
