"C.dat.median[, 1]","X10_100","X10_1000","X10_10000","X100_1000","X100_10000","X50_100","X50_1000","X50_10000"
"bayg29.ts0r0f",6.596,3269.451,2927.509,432.223,42.951,147.069,147.069,1841.376
"bays29.ts0r0f",17.637,3625.31,3238.006,3920.212,274.479,105.677,105.677,234.688
"dantzig42.ts0r0f",18.394,3337.103,2206.789,3174.961,1191.614,96.812,850.952,1459.642
"swiss42.ts0r0f",21.875,4429.857,4076.989,145.528,26.167,83.003,785.555,6107.812
"att48.ts0r0f",60.067,7762.65,3642.736,8234.393,2708.566,53.588,2028.492,1884.712
"gr48.ts0r0f",23.39,7134.935,3319.553,4079.539,1061.132,120.767,2010.442,1165.237
"hk48.ts0r0f",15.459,4665.998,2872.373,705.52,255.272,46.48,874.434,1599.071
"eil51.ts0r0f",27.975,9822.129,4244.707,9046.68,1497.622,104.194,3882.25,4679.854
"berlin52.ts0r0f",6.942,4705.878,2979.373,2451.659,990.657,51.097,2289.766,1802.574
"brazil58.ts0r0f",15.067,9683.144,5889.458,9131.815,5633.759,70.532,2223.558,3541.001
"st70.ts0r0f",13.959,13319.7,8324.669,46324.709,15241.729,48.227,5407.84,6673.666
"eil76.ts0r0f",12.399,9223.036,5383.666,25291.693,7369.483,64.866,4770.227,2842.053
"pr76.ts0r0f",8.293,12709.731,4475.709,34656.336,10212.869,90.215,7516.619,5311.882
"gr96.ts0r0f",7.19,25837.338,25837.338,5391.729,5391.729,39.342,7776.327,7776.327
"burma14.ts10r10f",15.098,371.56,371.56,1,1,1,1,1
"ulysses16.ts10r10f",8.736,6204.427,6204.427,1.005,1.005,1.604,1.995,1.995
"gr17.ts10r10f",10.985,2929.201,2929.201,1.947,1.947,1,1.776,1.776
"gr21.ts10r10f",14.649,1953.352,1953.352,1,1,1.675,1.675,1.675
"ulysses22.ts10r10f",19.418,16629.284,16629.284,1.231,1.231,50.403,46.923,46.923
"gr24.ts10r10f",8.55,6479.929,6479.929,7.747,7.747,57.785,85.411,85.411
"fri26.ts10r10f",5.075,3305.256,3305.256,1.564,1.564,156.323,873.215,873.215
"bayg29.ts10r10f",59.804,8674.657,8674.657,1.505,1.505,425.489,1063.826,1063.826
"bays29.ts10r10f",7.796,10505.572,10505.572,3.154,3.154,372.832,3782.804,3782.804
"dantzig42.ts10r10f",20.422,6671.73,13875.971,1696.648,1449.77,106.916,1460.395,7468.954
"swiss42.ts10r10f",35.401,13475.59,12691.279,945.064,898.186,105.884,4524.861,4689.247
"att48.ts10r10f",12.15,7788.027,11310.236,10058.399,7257.982,43.208,2355.853,8724.585
"gr48.ts10r10f",11.093,7583.764,14611.014,3691.22,2670.303,141.165,3494.673,21178.753
"hk48.ts10r10f",61.284,9032.394,22965.351,83706.591,83681.514,67.064,3193.671,8502.942
"eil51.ts10r10f",3.153,5935.803,6198.366,90566.726,33835.765,56.185,2983.36,73549.023
"berlin52.ts10r10f",40.384,3878.911,4630.024,3067.537,2042.341,56.788,1959.864,2039.208
"brazil58.ts10r10f",9.015,13856.875,19852.94,6267.515,5834.638,60.277,5673.333,11980.32
"st70.ts10r10f",14.819,20062.005,33801.062,256482.113,90271.724,51.936,3035.259,55593.285
"eil76.ts10r10f",25.444,9586.909,6744.704,13639.788,4934.999,60.819,4806.476,4818.154
"pr76.ts10r10f",21.057,9218.034,11968.812,1906.136,1898.394,57.713,1791.263,2764.336
"gr96.ts10r10f",24.329,12719.126,12160.162,4719.97,4277.473,16.278,3103.4,3748.276
"burma14.ts1e7r0f",17.325,1447.617,1447.617,1,1,1,1,1
"ulysses16.ts1e7r0f",11.954,11133.276,11133.276,1.029,1.029,2.269,2.591,2.591
"gr17.ts1e7r0f",15.493,1914.12,1914.12,1.674,1.674,1.108,1.683,1.683
"gr21.ts1e7r0f",21.569,1806.722,1806.722,1,1,3.901,3.901,3.901
"ulysses22.ts1e7r0f",11.527,6032.368,6032.368,1.126,1.126,35.42,32.928,32.928
"gr24.ts1e7r0f",19.926,5028.838,6481.343,8.077,5.887,204.997,343.941,927.092
"fri26.ts1e7r0f",16.881,2994.73,3509.31,9.184,6.051,62.487,124.179,444.952
"bayg29.ts1e7r0f",95.293,13765.966,9237.738,5.031,4.096,575.419,761.333,1138.979
"bays29.ts1e7r0f",13.946,4088.819,4178.133,259.57,150.315,224.923,402.087,2314.027
"dantzig42.ts1e7r0f",11.559,5588.918,3706.898,687.143,228.432,104.428,1234.074,1394.774
"swiss42.ts1e7r0f",5.091,5283.876,3975.511,696.975,458.243,39.397,1279.359,1130.99
"att48.ts1e7r0f",15.855,6225.73,7133.197,1441.377,784.88,55.016,1898.82,2557.585
"gr48.ts1e7r0f",12.963,9660.526,9318.564,4953.415,3331.6,37.189,1895.975,18486.949
"hk48.ts1e7r0f",18.597,20637.121,19919.625,5445.561,5165.992,109.687,9834.585,15876.051
"eil51.ts1e7r0f",8.773,9534.842,3067.613,607245.691,119692.856,90.731,4373.149,2213.623
"berlin52.ts1e7r0f",6.119,4293.251,3711.638,989.535,805.666,60.972,2148.629,3005.033
"brazil58.ts1e7r0f",17.699,13355.411,11594.71,6921.998,5019.148,51.124,4498.877,8104.878
"st70.ts1e7r0f",18.906,14173.714,11515.502,90234.356,29760.703,53.519,4618.717,5203.595
"eil76.ts1e7r0f",24.419,17030.589,6005.844,9917.168,1995.621,82.733,5942.009,7202.197
"pr76.ts1e7r0f",14.288,7515.176,11467.814,5282.805,4860.927,72.593,3943.381,35430.123
"gr96.ts1e7r0f",41.907,12724.288,14327.44,5200.411,4639.997,86.404,9701.356,9593.509
