"x","y"
1,2.50954571194761
4,2.31455025847111
27,2.06234429807442
38,1.84200628357666
46,1.77351964145373
63,1.45308773666722
154,1.28728431589888
162,1.08154285401973
260,0.949785105848102
405,0.738757140028813
433,0.445430347794834
698,0.329079667224778
840,0.141145655163092
963,-0.0090363738289984
1074,-0.325370594136839
1156,-0.412333534040946
1307,-0.730199259916991
1418,-0.84220830179828
1910,-1.00148396955917
8417,-1.21334873373599
8523,-1.40250034225484
8820,-1.64944929124426
8906,-1.84108442038589
9181,-2.09138267909226
9393,-2.20184068376219
9787,-2.47400402910456
10217,-2.62155095089618
10729,-2.80197907454712
24868,-3.16450609849536
25082,-3.22607659421553
25551,-3.40930201382318
26001,-3.6306527520096
26471,-3.84860400398894
26699,-4.01483178667394
27294,-4.33149559355877
27376,-4.45793729482793
27993,-4.66706622598238
29055,-4.81100340902582
29622,-5.07138112044059
30003,-5.30042345769198
30090,-5.56486878359505
30487,-5.65112947605742
30636,-5.81082818161993
30748,-6.01701291729982
31346,-6.21302633010131
31820,-6.45144872596853
32359,-6.65954581460236
32875,-6.91473922888343
33280,-7.04504386736518
33539,-7.21143547316001
34010,-7.47971047082331
34116,-7.68033918349205
34467,-7.92080931936915
34693,-8.07843817540152
