"x","y"
1,6.37855818127267
8,5.59514789881216
11,4.89102553303594
16,4.71114512949257
17,4.44205804551723
24,3.54884901433559
75,3.39943242429254
162,3.19585078240203
181,2.992420639888
232,2.78503459028194
304,2.43758054002617
312,2.31119935719947
318,2.19011792925359
326,1.63609357288321
332,1.49400753106898
392,1.39522099964358
811,1.17311256500826
838,0.993868091978601
857,0.717680114282063
875,0.482709558470107
885,0.369594631753241
887,-0.131772938032985
901,-0.46906759669624
919,-1.08264341124087
941,-1.83982532181824
977,-2.06568869869138
979,-2.88233693497289
990,-3.0932815870178
1025,-3.41607647121583
1042,-3.66164822702108
1047,-4.98040116445086
1054,-5.13054597276751
1055,-6.15209464958102
1134,-6.41616126785107
1167,-6.8785101518001
1189,-7.17379242110554
1209,-7.38676024337161
1223,-7.55811585435825
1231,-7.71181489932057
1233,-7.92213515374863
1242,-8.13302614686485
