"x","y"
1,4.63913094057188
2,3.81903766301672
10,2.98700230567093
23,2.20984318739126
41,0.590104218583939
83,0.39494594372399
2831,0.19866613447864
10683,-0.197051833818813
11136,-0.202945390532191
75371,-0.464399008042275
75676,-0.695302227282614
77937,-0.832508287009941
78493,-1.19344342111061
78814,-1.54564171958229
80379,-1.79374125676938
82332,-2.57550186070517
84141,-2.74852070177014
84149,-2.82826689014026
84472,-3.14124304205442
84700,-3.33493332042722
84896,-3.42683487434545
84987,-3.73393373137281
85495,-3.8424608119846
85972,-4.23450308633554
86156,-4.49231292213789
86553,-4.64716369165825
86939,-5.11175003670431
87290,-5.49529679163233
87554,-5.60129506516211
87970,-5.95083086574177
88099,-6.39980176143139
88742,-6.41471330719071
89025,-7.00870143996032
89590,-7.37635667217612
89655,-7.77322407753585
90058,-7.93429214436159
90224,-8.54067605610465
90480,-8.6857662666664
