"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48","decayModelnegative","58.009937116374","-1.37637424860624","3.68485488056924","0.00428377266976815","396.746232834777"
"ts0r0b/symmetric/bayg29","decayModelnegative","22.7591800763048","-0.145443369665429","4.98257006445233","0.00470121648754045","127.840177201022"
"ts0r0b/symmetric/bays29","decayModelnegative","28.399003217757","-0.208426147624895","4.8558632930299","0.00415879626006745","603.788298558894"
"ts0r0b/symmetric/berlin52","decayModelnegative","34.6385598421379","-0.184866789351503","5.15129558021747","0.00431174421236854","86.2356818693222"
"ts0r0b/symmetric/brazil58","decayModelnegative","52.2437615055013","-0.041757823381595","7.06641186465446","0.00246083384395531","2439.95062661376"
"ts0r0b/symmetric/burma14","decayModelnegative","10.6381418411306","-0.35655030593685","3.35110757225059","0.00653415552062448","0.655060366992543"
"ts0r0b/symmetric/dantzig42","decayModelnegative","52.6037129173702","-2.31782759951429","3.06176990410002","0.00581996377769245","243.367334624542"
"ts0r0b/symmetric/eil51","decayModelnegative","51.3849635987943","-3.22336187754871","2.70865811871653","0.00622533019646968","181.568026899145"
"ts0r0b/symmetric/eil76","decayModelnegative","47.920325330386","-1.8234868266469","3.17924354470723","0.00691321891758959","106.1614482778"
"ts0r0b/symmetric/fri26","decayModelnegative","32.3425536551799","-1.31492157629493","3.14866599667226","0.00601272596360575","134.061569357072"
"ts0r0b/symmetric/gr17","decayModelnegative","14.4782278488104","-2.13560375795508","1.87320136397524","0.00933795712372509","398.03737838601"
"ts0r0b/symmetric/gr21","decayModelnegative","1.19029800697503","-1.27037100324129","-40.1964960006172","-2.53186285857382","0.204644270353469"
"ts0r0b/symmetric/gr24","decayModelnegative","28.4953284461597","-0.221561359751666","4.79973013350905","0.0043696616407505","125.791084967761"
"ts0r0b/symmetric/gr48","decayModelnegative","50.5740473830407","-0.949797744489647","3.91088330847954","0.00459820263905928","430.782304708575"
"ts0r0b/symmetric/gr96","decayModelnegative","98.8400824433509","-11.93315023111","2.05022943099786","0.00710774702553102","257.508484423365"
"ts0r0b/symmetric/hk48","decayModelnegative","57.5264654713388","-5.7988771692397","2.23970576220861","0.0068773907693108","547.279643350225"
"ts0r0b/symmetric/pr76","decayModelnegative","3.76962304373939","-4.51429004269091","-12.5308600677525","-1.02551028674681","4.29192908592539"
"ts0r0b/symmetric/st70","decayModelnegative","80.268639268851","-8.01606536008603","2.24346890825389","0.00674181207773182","273.933601904357"
"ts0r0b/symmetric/swiss42","decayModelnegative","42.3908265342747","-0.241519130894364","5.09898040131574","0.00391885374463613","122.64983641855"
"ts0r0b/symmetric/ulysses16","decayModelnegative","0.525666189668081","-0.535448305970486","-72.3153440670323","-3.7069150986784","0.0601525467576039"
"ts0r0b/symmetric/ulysses22","decayModelnegative","0.925200148378177","-0.983306274785263","-19.7574936872396","-2.2159001930771","0.441606813225706"
"ts0r0f/symmetric/att48","decayModelnegative","3.46174894553462","-9.83381296916677","-16.2903791938009","-0.537228286799488","104.715748002582"
"ts0r0f/symmetric/bayg29","decayModelnegative","1.85253830491374","-9.45365972165278","-10.8024541828127","-0.433113137446407","81.4186788934899"
"ts0r0f/symmetric/bays29","decayModelnegative","1.55626335841321","-1.61623238231935","-3341.02914282233","-2.48320322234955","0.147974470567836"
"ts0r0f/symmetric/berlin52","decayModelnegative","2.80138897924789","-7.07107816633764","-21.8684250686094","-0.594047381205662","13.7623366581068"
"ts0r0f/symmetric/brazil58","decayModelnegative","3.47117283539276","-6.2028256241509","-65.6648026989567","-0.867996229091172","116.758719148798"
"ts0r0f/symmetric/burma14","decayModelnegative","20.3735030987654","-1.62247254904392","2.48828413877563","0.00528390504039006","1.25264179455557"
"ts0r0f/symmetric/dantzig42","decayModelnegative","3.16882886796577","-10.6712282959221","-14.7630714506237","-0.512001856822784","102.832250096968"
"ts0r0f/symmetric/eil51","decayModelnegative","2.5411900331578","-3.68860018007868","-98.2191596292503","-1.08229037181951","3.54465486639732"
"ts0r0f/symmetric/eil76","decayModelnegative","3.41767590479226","-12.2047115679205","-19.4839384728163","-0.485302714906661","44.8258755002527"
"ts0r0f/symmetric/fri26","decayModelnegative","1.6258850247474","-3.28270973734384","-15.6780565072891","-0.740633657726151","6.37403736680655"
"ts0r0f/symmetric/gr17","decayModelnegative","27.1758405621715","-1.3406225578047","2.95062475202323","0.00549968285869918","137.378512234784"
