"x","y"
1,0.416266010365448
1,0.186027527591721
1,-0.0752244188979936
1,0.332700815519179
1,0.643178507801706
1,1.92088713627779
1,0.970531515402717
1,0.116183164400156
1,0.381882237551909
1,0.822574462327239
1,-0.986191391510333
1,1.4098180171682
1,1.96524953458779
1,0.856959633215951
1,1.13679207498812
3,-0.310525401502822
3,1.07062226831221
3,0.642270471715025
3,0.639290166207463
3,1.15386126341214
3,0.712774159660638
4,0.133480178844097
4,0.592164018718775
5,0.698565983398497
5,0.574422484373119
5,0.469100126376723
6,-0.198508333057387
6,0.0681148580742173
7,0.803253181674809
10,-0.511105292011923
10,0.52149999580304
10,0.109730299054822
10,0.592047960655427
10,0.799262571221298
10,-0.076699091637821
11,-0.121235190584727
12,-0.0445170496360385
12,0.188262273806085
13,0.388459748247811
15,-0.0157293233960166
17,-0.575586882268031
19,-0.486334780489789
19,0.547250483949238
19,-0.485437030830764
20,-0.392752402248988
21,-0.239446243164929
21,-0.371386290606385
21,-0.834013599944694
21,0.151408343828153
22,-1.16536582234694
23,-0.397166422002505
23,0.151171066763781
28,-0.292228942833337
28,-0.225963313387352
28,-0.782912038560575
28,-0.0554635865419904
28,-0.606481633541358
28,-0.469278157877387
29,-1.79048261346534
34,-0.63773791209424
35,-0.625547028482449
35,-0.762192781094042
37,-0.491807894990691
37,-0.438317135070679
40,-0.752242407767516
40,-0.911735136376171
40,-0.953111701667738
40,-0.852701698377959
40,-0.945295516547519
40,-1.42638179445708
40,-0.868923838403642
40,-0.529066198490862
40,-1.28882379710243
42,-1.66160742569991
43,-0.417208020673199
45,-1.09016162620163
45,-1.51819254340786
45,-1.8970064065736
45,-0.881166726736796
45,-1.58090645345525
45,-0.978750010655718
46,-0.858746591846621
62,-1.45266297992103
64,-1.03337239868274
66,-1.37775498651208
66,-2.69430755568604
66,-1.40060358685216
66,-1.95856059911254
71,-1.58914464466261
71,-0.810125127284764
71,-1.08687926171834
73,-1.38939010738329
73,-1.10683711006545
73,-1.66488880225192
73,-1.06458426513471
73,-1.24619587921528
74,-1.33570024887229
78,-1.81947878733584
81,-2.0458162863356
81,-1.96064491794987
81,-1.28886563587097
81,-1.46321827283992
84,-1.53434280483561
84,-2.053305111695
87,-1.76390425013766
90,-2.08395249996263
90,-1.60584236951765
92,-2.03868900490083
94,-1.82745758178494
96,-1.82831811251134
99,-2.21543467356121
100,-2.2738139093127
101,-1.66230852493756
101,-1.42429450238641
101,-2.48186592855471
104,-1.94837416310557
107,-3.3747054833008
107,-1.80812738940571
108,-2.61134688821413
108,-2.12901513266735
110,-2.02046866968574
110,-2.35748924974076
110,-2.23118151453219
110,-2.90689775150728
111,-1.9834142672181
112,-2.48997645436944
113,-1.63453013024669
119,-2.02915893037588
120,-2.21683388295089
120,-2.37631829649795
133,-2.97947309791463
133,-2.4031987814993
133,-2.41383434111018
133,-2.43618164743607
133,-2.20540309890765
134,-2.75211659576377
134,-2.1039971994941
143,-2.42263801605145
143,-2.76279404960605
143,-2.77816629260724
143,-4.36209596760587
145,-2.23152774019875
147,-2.71137641654019
147,-3.51554598272597
150,-3.07423394272844
150,-3.69920693620454
153,-3.5627409453758
153,-2.48937434825932
156,-2.20949348181014
156,-2.50388932392328
165,-2.64308801206606
166,-2.42167066894704
166,-2.84326027881928
167,-2.71972028426058
171,-2.60931222764044
171,-4.00364574543624
171,-2.63193441819338
171,-4.54328012112017
177,-3.2456691245015
177,-2.88875264422238
177,-2.84973499967126
183,-2.66920095758467
190,-2.83619611532265
194,-4.01149623092043
197,-2.88365124245557
207,-4.27429023493257
216,-2.4008268205734
227,-4.60777815091937
227,-2.84112873629405
227,-3.01428292556981
240,-2.82214039784744
240,-2.65292854961506
256,-3.01227037675617
256,-4.55966345564045
261,-3.02585135958279
275,-5.90072503400853
285,-2.80153133601753
293,-3.05331338650244
293,-3.41778005349966
293,-3.08079927855481
293,-2.92748340392178
293,-3.03032936933448
299,-3.25226526896932
299,-3.26864943466664
299,-3.2331851113277
299,-3.24718646386216
299,-3.00373837963383
299,-3.02076085620326
306,-3.36642441556975
306,-3.7746866320476
306,-3.42403982333892
306,-3.5542150289982
306,-3.46217468285314
310,-3.28462236659052
311,-3.44377360985701
311,-3.21511327101719
311,-3.56556989838306
313,-3.94906479574076
313,-3.92833807196896
313,-3.40853153504906
316,-3.4519796694249
316,-3.6919015936169
316,-3.89453241769103
317,-6.10086301317851
317,-3.00595138548797
318,-3.84214885097538
318,-3.41537798301631
322,-3.95194299406782
328,-3.68173775402974
328,-3.64479112898926
328,-4.08428667960962
329,-3.6773748025764
347,-3.40752728714148
359,-3.67442330325814
369,-3.62403414455873
381,-3.67617571298275
382,-3.97980917864738
382,-4.01260240955204
385,-3.80300490795818
385,-4.29854815183608
385,-3.95410510307618
389,-4.28657599793408
389,-4.0399453183485
389,-4.65008712008396
390,-4.24386453612942
390,-4.23114141333399
390,-4.36291214894668
394,-3.90954379558982
403,-4.65170002736894
403,-4.40902895609597
403,-4.50960171701584
403,-4.11874061165135
403,-3.84068216276932
403,-4.82880526215434
405,-3.82858045764352
406,-4.57097991787652
413,-4.06219111239606
416,-4.24052893898732
416,-4.89288779561461
416,-4.84538292807732
421,-4.5274827403959
421,-4.83779264425115
421,-4.23869912156993
438,-4.01294421946337
445,-4.27235740916795
454,-5.22434365382437
458,-4.46069967211064
459,-4.2060693875049
459,-4.44696168575322
461,-4.02027971048709
479,-4.21661239638311
481,-4.8735272181595
482,-4.43545658469125
483,-4.63947419283218
483,-4.64232185136201
485,-4.6825322498145
485,-4.87283381747617
490,-5.03994694211294
490,-4.60271535473576
490,-4.85290551022283
490,-4.40907776500975
490,-5.03641586383473
501,-4.41949069356316
502,-4.61960068291571
503,-5.04219325454236
512,-4.86473866634924
516,-5.16211720609489
517,-4.80670744762845
521,-5.23079471542151
521,-5.36537553459994
525,-4.8589629820555
525,-4.60615178906311
525,-4.61399423095468
528,-5.09792470054357
528,-5.22162645584873
528,-5.36883326496099
528,-4.84626026016437
528,-4.81516181521875
528,-5.12057558238097
528,-4.80939567850005
528,-5.39742187189109
528,-5.11435686146416
530,-5.00335271307625
533,-5.3030598044454
533,-5.25831108199537
533,-5.66173651189239
533,-5.7860227014387
533,-5.06624991849046
533,-5.33319316976412
533,-5.20880067799303
539,-5.45854164539285
539,-5.97414408910813
539,-5.06955723601656
539,-5.4271712341213
539,-5.73123637392067
556,-5.7608903558036
556,-5.86772948142622
556,-5.02235432533302
578,-5.52643152540006
578,-5.98489728002348
578,-5.72357234236638
582,-6.2817040579205
582,-5.18956718634031
582,-5.87344064841026
582,-6.18984897075664
587,-5.44684915100467
588,-5.33122893223708
588,-6.21873768932073
588,-5.26320028172712
599,-5.87946142575232
599,-5.69344389320494
599,-5.71049929355717
599,-6.5124570830743
599,-5.51699618943146
599,-6.45829416780374
601,-6.44722914485979
608,-6.16257753847121
608,-5.27115819097101
608,-5.9548070355749
617,-6.51203833244295
617,-7.02354003102292
617,-6.08992182086363
618,-6.32336930052132
620,-7.21497120469147
623,-6.07056453119992
630,-6.37745368410321
631,-6.08875678735928
631,-6.46490065152231
631,-6.6314414013295
631,-6.88238978722941
634,-7.36483606311916
634,-7.41343004765215
636,-6.22325174670527
636,-6.75829055159495
638,-6.06126099996749
638,-6.49522337951109
638,-5.6540122239114
639,-6.84000282424155
640,-6.8052626062598
640,-7.6849265206742
649,-5.7116095385313
661,-5.83041570550424
661,-7.21341632945501
663,-5.44417089227111
669,-7.40885517193843
675,-6.40225567226677
675,-6.20420246022978
677,-6.10762880713613
682,-7.55303175384393
684,-7.76660670986281
691,-8.1492883934715
691,-6.4987246148441
691,-7.53824552275246
697,-6.41048224307429
704,-6.68016204002653
704,-6.30946474331351
706,-6.625111162844
707,-6.43424759910649
709,-7.43750261518206
710,-6.83218952004267
712,-6.25100625918158
712,-5.85106991869604
721,-7.45758497632373
721,-7.83760606600869
721,-6.66982761716412
726,-7.62660848109429
730,-6.41574415669576
735,-6.62124294287516
735,-8.34379610338107
735,-6.05889557030659
735,-7.94685864756024
738,-7.36007304480094
746,-6.74310229019924
746,-8.56394287595198
755,-6.85057004728758
755,-7.62517490187983
755,-7.8069675057835
758,-6.2425650024663
759,-6.80066376029647
760,-6.85717818059488
761,-8.13900734690267
761,-6.49060646211081
764,-7.47017703459283
764,-7.46079995857229
765,-7.07377018012448
765,-6.66105065154617
771,-7.30657799019561
776,-7.65864925406018
782,-7.06102227773735
782,-7.2613464056176
783,-7.93106906108652
786,-7.49994751846651
786,-8.34291981250645
786,-7.82007770261485
788,-7.60301991177467
788,-7.87483517078509
792,-7.20967528318379
797,-8.00324478977308
816,-6.80232785120713
818,-7.81564664570985
820,-7.4895107693867
825,-7.02727631476545
825,-8.17929361320516
834,-7.43198205753113
835,-8.38748695607364
835,-8.28196885630464
835,-7.7184991647351
835,-8.24849194396431
835,-7.2815533430517
843,-7.82578286974483
850,-7.63411512163784
851,-7.41097303095803
888,-7.8299651594294
906,-7.80439639664959
906,-8.09555816746469
909,-7.91043524466039
909,-8.15166659123297
909,-8.30770904283724
909,-7.76548187143611
917,-7.82017926507715
932,-8.03078590378607
1007,-8.02963103483095
