"model","instance_file"
"gompertzModelpositive","ts10r10b/symmetric/pr76"
"gompertzModelpositive","ts10r10b/symmetric/st70"
"gompertzModelpositive","ts10r10b/symmetric/swiss42"
"gompertzModelpositive","ts10r10b/symmetric/ulysses16"
"gompertzModelpositive","ts10r10b/symmetric/ulysses22"
"gompertzModelpositive","ts10r10f/symmetric/att48"
"gompertzModelpositive","ts10r10f/symmetric/bayg29"
"gompertzModelpositive","ts10r10f/symmetric/bays29"
"gompertzModelpositive","ts10r10f/symmetric/berlin52"
"gompertzModelpositive","ts10r10f/symmetric/brazil58"
"gompertzModelpositive","ts10r10f/symmetric/burma14"
"gompertzModelpositive","ts10r10f/symmetric/dantzig42"
"gompertzModelpositive","ts10r10f/symmetric/eil51"
"gompertzModelpositive","ts10r10f/symmetric/eil76"
"gompertzModelpositive","ts10r10f/symmetric/fri26"
"gompertzModelpositive","ts10r10f/symmetric/gr17"
"gompertzModelpositive","ts10r10f/symmetric/gr21"
"gompertzModelpositive","ts10r10f/symmetric/gr24"
"gompertzModelpositive","ts10r10f/symmetric/gr48"
"gompertzModelpositive","ts10r10f/symmetric/gr96"
"gompertzModelpositive","ts10r10f/symmetric/hk48"
"gompertzModelpositive","ts10r10f/symmetric/pr76"
"gompertzModelpositive","ts10r10f/symmetric/st70"
"gompertzModelpositive","ts10r10f/symmetric/swiss42"
"gompertzModelpositive","ts10r10f/symmetric/ulysses16"
"gompertzModelpositive","ts10r10f/symmetric/ulysses22"
"gompertzModelpositive","ts1e7r0b/symmetric/att48"
"gompertzModelpositive","ts1e7r0b/symmetric/bayg29"
"gompertzModelpositive","ts1e7r0b/symmetric/bays29"
"gompertzModelpositive","ts1e7r0b/symmetric/berlin52"
"gompertzModelpositive","ts1e7r0b/symmetric/brazil58"
"gompertzModelpositive","ts1e7r0b/symmetric/burma14"
"gompertzModelpositive","ts1e7r0b/symmetric/dantzig42"
"gompertzModelpositive","ts1e7r0b/symmetric/eil51"
"gompertzModelpositive","ts1e7r0b/symmetric/eil76"
"gompertzModelpositive","ts1e7r0b/symmetric/fri26"
"gompertzModelpositive","ts1e7r0b/symmetric/gr17"
"gompertzModelpositive","ts1e7r0b/symmetric/gr21"
"gompertzModelpositive","ts1e7r0b/symmetric/gr24"
"gompertzModelpositive","ts1e7r0b/symmetric/gr48"
"gompertzModelpositive","ts1e7r0b/symmetric/gr96"
"gompertzModelpositive","ts1e7r0b/symmetric/hk48"
"gompertzModelpositive","ts1e7r0b/symmetric/pr76"
"gompertzModelpositive","ts1e7r0b/symmetric/st70"
"gompertzModelpositive","ts1e7r0b/symmetric/swiss42"
"gompertzModelpositive","ts1e7r0b/symmetric/ulysses16"
"gompertzModelpositive","ts1e7r0b/symmetric/ulysses22"
"gompertzModelpositive","ts1e7r0f/symmetric/att48"
"gompertzModelpositive","ts1e7r0f/symmetric/bayg29"
"gompertzModelpositive","ts1e7r0f/symmetric/bays29"
"gompertzModelpositive","ts1e7r0f/symmetric/berlin52"
"gompertzModelpositive","ts1e7r0f/symmetric/brazil58"
"gompertzModelpositive","ts1e7r0f/symmetric/burma14"
"gompertzModelpositive","ts1e7r0f/symmetric/dantzig42"
"gompertzModelpositive","ts1e7r0f/symmetric/eil51"
"gompertzModelpositive","ts1e7r0f/symmetric/eil76"
"gompertzModelpositive","ts1e7r0f/symmetric/fri26"
"gompertzModelpositive","ts1e7r0f/symmetric/gr17"
"gompertzModelpositive","ts1e7r0f/symmetric/gr21"
"gompertzModelpositive","ts1e7r0f/symmetric/gr24"
"gompertzModelpositive","ts1e7r0f/symmetric/gr48"
"gompertzModelpositive","ts1e7r0f/symmetric/gr96"
"gompertzModelpositive","ts1e7r0f/symmetric/hk48"
"gompertzModelpositive","ts1e7r0f/symmetric/pr76"
"gompertzModelpositive","ts1e7r0f/symmetric/st70"
"gompertzModelpositive","ts1e7r0f/symmetric/swiss42"
"gompertzModelpositive","ts1e7r0f/symmetric/ulysses16"
"gompertzModelpositive","ts1e7r0f/symmetric/ulysses22"
