"ALGORITHM","Success_Instance_Num"
"holtschulte2013_ga100",89
"holtschulte2013_hill",111
"hutter2013_CMAES",107
"liao2013_IPOP",69
"liao2013_IPOP-500",79
"liao2013_IPOP-tany",70
"liao2013_IPOP-texp",72
"P-DCN",73
"pal2013_DE",76
"pal2013_fmincon",86
"pal2013_HMLSL",76
"pal2013_simplex",76
