"x","y"
"1","+6.343377749e+02"
"3","+3.135622399e+01"
"31","+4.518081775e+00"
"45","+3.117014657e+00"
"150","+2.300509917e+00"
"16753","+1.539737793e+00"
"22283","+9.796402804e-01"
"22337","+5.502416797e-01"
"25356","+2.206141483e-01"
"25992","+1.528784667e-01"
"27489","+7.095539936e-02"
"28444","+5.136870922e-02"
"29243","+3.492877245e-02"
"29251","+9.901374275e-03"
"29526","+6.107578290e-03"
"29568","+3.427323763e-03"
"124576","+9.637143899e-04"
"136485","+5.338859852e-04"
"137543","+3.191597279e-04"
"138092","+2.493247405e-04"
"515071","+8.915181499e-05"
"553408","+5.508653983e-05"
"738307","+1.039467435e-05"
"738610","+5.704550631e-06"
"739735","+1.050032665e-07"
"739978","+7.690323400e-08"
"740400","+5.512103485e-08"
"744100","+3.929764603e-08"
