"x","y"
"1","+2.260896223e+03"
"3","+5.335174047e+02"
"7","+2.669879559e+00"
"20","+1.812254109e+00"
"514","+1.478476619e+00"
"4064","+8.584253067e-01"
"4133","+3.077681936e-01"
"9131","+8.005252763e-02"
"15883","+6.269652746e-02"
"16025","+1.034976759e-02"
"16031","+5.299118841e-03"
"16048","+1.788130112e-03"
"16059","+8.167466058e-05"
"16143","+2.263324771e-05"
"16160","+6.998944158e-06"
"16222","+5.547214059e-06"
"16230","+2.682476463e-06"
"16232","+7.588176771e-07"
"16265","+5.467589119e-07"
"16278","+2.443971425e-07"
"16303","+3.798221826e-08"
"16306","+1.327917687e-08"
"16308","+6.087532256e-09"
