"x","y"
"1","+5.393603749e+01"
"2","+3.102049934e+01"
"5","+2.378446665e+01"
"9","+1.354961786e+01"
"17","+9.840924848e+00"
"18","+6.062707595e+00"
"77","+2.098533518e+00"
"98","+4.834712217e-01"
"100","+3.416014881e-01"
"108","+7.757877303e-02"
"115","+4.524937914e-02"
"119","+7.968812700e-03"
"130","+2.403097384e-04"
"162","+9.736818166e-05"
"166","+4.849622339e-05"
"176","+2.741201470e-06"
"239","+1.717194266e-06"
"261","+7.514013447e-07"
"292","+8.793786321e-08"
"297","+1.253700077e-08"
"323","+5.780108836e-09"
"324","+3.366707801e-09"
