"x","y"
"1","+1.078486031e+06"
"2","+5.767151984e+05"
"32","+2.991135645e+05"
"84","+1.166706525e+05"
"100","+8.826703687e+04"
"162","+4.075311743e+04"
"176","+3.295217869e+04"
"187","+1.810250939e+04"
"232","+7.193859758e+03"
"319","+1.115829847e+03"
"410","+2.504295695e+02"
"822","+1.500670127e+02"
"981","+9.813628271e+01"
"1300","+6.255908499e+01"
"1374","+3.936010903e+01"
"1619","+2.396255948e+01"
"1842","+1.507848393e+01"
"2109","+9.351229184e+00"
"2244","+6.190151151e+00"
"2417","+3.851746565e+00"
"2665","+2.496334781e+00"
"2875","+1.545438015e+00"
"3105","+7.787205898e-01"
"3354","+4.795709977e-01"
"3509","+3.909423976e-01"
"3877","+2.367921680e-01"
"4033","+1.573777047e-01"
"4205","+9.497415997e-02"
"4483","+6.243458143e-02"
"4750","+3.881375224e-02"
"4878","+2.482511700e-02"
"5208","+1.582403133e-02"
"5564","+9.047180370e-03"
"5875","+6.161980960e-03"
"6094","+3.959357753e-03"
"6241","+2.504383656e-03"
"6447","+1.543786244e-03"
"6598","+9.767669833e-04"
"6770","+5.962624004e-04"
"6953","+3.892119595e-04"
"7067","+2.391488837e-04"
"7185","+1.542837197e-04"
"7387","+8.560263521e-05"
"7630","+6.295288534e-05"
"7758","+3.252206162e-05"
"8029","+1.996879263e-05"
"8194","+1.575671527e-05"
"8370","+8.708836305e-06"
"8505","+6.036068186e-06"
"8620","+3.437668028e-06"
"8685","+2.168174944e-06"
"8900","+1.264307116e-06"
"9037","+9.342233227e-07"
"9207","+5.674898773e-07"
"9419","+3.597297393e-07"
"9531","+2.484085826e-07"
"9781","+1.541649226e-07"
"9897","+9.726093708e-08"
"10157","+6.254757068e-08"
"10462","+3.915076263e-08"
"10691","+2.231166718e-08"
"10887","+1.453119580e-08"
"11115","+9.872877627e-09"
