"x","y"
"1","+1.558755862e+09"
"2","+2.832732542e+08"
"157","+2.466183197e+08"
"256","+1.388435553e+08"
"326","+9.906949148e+07"
"435","+5.800970593e+07"
"593","+3.079458684e+07"
"635","+2.397523870e+07"
"791","+1.314016336e+07"
"852","+9.713394112e+06"
"1020","+6.308518657e+06"
"1095","+3.227037630e+06"
"1192","+2.354213311e+06"
"1253","+1.573687162e+06"
"1404","+9.640332820e+05"
"1478","+5.960519415e+05"
"1601","+2.766675585e+05"
"1706","+2.315335688e+05"
"1796","+1.519909046e+05"
"1905","+8.828313406e+04"
"2035","+6.264244318e+04"
"2168","+3.382091920e+04"
"2250","+2.429717658e+04"
"2379","+1.511569971e+04"
"2455","+8.964915344e+03"
"2589","+5.050747564e+03"
"2687","+3.782375842e+03"
"2741","+2.471583564e+03"
"2805","+1.530889308e+03"
"3016","+8.423845371e+02"
"3139","+6.284002403e+02"
"3233","+3.813185053e+02"
"3367","+2.197904546e+02"
"3461","+1.375856049e+02"
"3573","+8.851686316e+01"
"3724","+6.205801004e+01"
"3806","+3.704966736e+01"
"3909","+2.328064988e+01"
"4084","+1.232921521e+01"
"4167","+8.461752134e+00"
"4376","+5.525678437e+00"
"4525","+3.908297101e+00"
"4880","+2.492547230e+00"
"13389","+1.581167012e+00"
"15555","+9.899127662e-01"
"17405","+6.298460865e-01"
"19070","+3.942410643e-01"
"20508","+2.469422412e-01"
"22182","+1.573560771e-01"
"23290","+9.929410237e-02"
"24683","+6.268518803e-02"
"25685","+3.946867580e-02"
"26794","+2.491337924e-02"
"27810","+1.580254756e-02"
"28665","+9.775529798e-03"
"29777","+6.301876447e-03"
"30966","+3.966299262e-03"
"32225","+2.477636535e-03"
"33461","+1.548627767e-03"
"34307","+9.925476002e-04"
"35334","+6.247989098e-04"
"36535","+3.781631218e-04"
"37300","+2.445382972e-04"
"38369","+1.580433447e-04"
"39297","+9.752820749e-05"
"40635","+6.264038745e-05"
"41881","+3.836211099e-05"
"42653","+2.464534644e-05"
"43320","+1.521693270e-05"
"44274","+9.897946136e-06"
"45068","+6.114201975e-06"
"45639","+3.955037506e-06"
"46560","+2.429952369e-06"
"47453","+1.566959046e-06"
"48091","+9.914956536e-07"
"48694","+6.302379045e-07"
"49324","+3.910325770e-07"
"49827","+2.455835908e-07"
"50519","+1.560277099e-07"
"51047","+9.819278546e-08"
"51481","+5.791046220e-08"
"52011","+3.802025184e-08"
"52562","+2.493733753e-08"
"52985","+1.500085567e-08"
"53512","+9.566482717e-09"
