"algorithms_instances_names","10iter_2hiddensize_50maxiter"
"ts0r0b/symmetric/swiss42",10.5430806922926
"ts0r0b/symmetric/st70",13.6953830051174
"ts0r0b/symmetric/pr76",21.4000748329394
"ts0r0b/symmetric/hk48",9.48281896507407
"ts0r0b/symmetric/gr96",18.8027596391945
"ts0r0b/symmetric/gr48",10.9821165668241
"ts0r0b/symmetric/gr24",5.0852290475562
"ts0r0b/symmetric/gr21",14.8384918498751
"ts0r0b/symmetric/gr17",4.49107516995257
"ts0r0b/symmetric/fri26",6.54724280309039
"ts0r0b/symmetric/eil76",9.65371336736515
"ts0r0b/symmetric/eil51",6.44392612866811
"ts0r0b/symmetric/dantzig42",8.11896555419099
"ts0r0b/symmetric/burma14",4.21425742045769
"ts0r0b/symmetric/brazil58",11.9994653533644
"ts0r0b/symmetric/berlin52",82.1182873535331
"ts0r0b/symmetric/bays29",8.76959363447492
"ts0r0b/symmetric/bayg29",7.43472934986622
"ts0r0b/symmetric/att48",8.30924745727964
