"","a$min","a$max","b$min","b$max","c$min","c$max","d$min","d$max"
"1FlipHC",0.658,4.337,8.1332,154.1343,-0.3048,-0.0312,0.5071,0.953
"2FlipHC",0.3995,3.6842,9.4791,179.794,-0.6184,-0.0935,0.3414,0.7501
"mFlipHC",0.4856,4.0391,11.4948,192.432,-0.4923,-0.0731,0.3664,0.7759
"1FlipHCrs",0.1446,1.8737,9.2076,172.8172,-1.6332,-0.0654,0.16,0.7031
"2FlipHCrs",0.1809,1.7199,11.3512,217.7198,-1.6315,-0.1485,0.1631,0.6488
"mFlipHCrs",-41.071,1.3937,12.5668,208.242,-1.2671,0.2569,-0.3353,0.5866
