"","mean.a","mean.b","mean.c","mean.d"
"uf020",0.7186,12.9575,-0.2752,0.6278
"uf050",0.9936,29.7046,-0.1361,0.5931
"uf075",1.2759,47.3725,-0.1477,0.5166
"uf100",1.4869,63.9294,-0.1335,0.5013
"uf125",1.5792,80.4794,-0.1248,0.4909
"uf150",1.7892,98.4254,-0.1252,0.4701
"uf175",2.0997,113.9246,-0.1146,0.4741
"uf200",2.7438,131.7721,-0.118,0.4589
"uf225",2.8521,145.023,-0.1047,0.4694
"uf250",2.8961,162.9338,-0.103,0.464
