"","a$min","a$max","b$min","b$max","c$min","c$max","d$min","d$max"
"uf020",0.3995,1.2859,8.1332,19.3653,-0.6184,-0.0665,0.3931,0.953
"uf050",0.4856,1.3835,24.0726,38.7957,-0.3224,-0.0312,0.3909,0.9187
"uf075",0.7308,2.3501,39.9834,56.1026,-0.2661,-0.0441,0.3693,0.736
"uf100",0.9263,2.4281,55.7016,74.1169,-0.2271,-0.0406,0.3915,0.721
"uf125",0.9378,2.532,67.7313,90.9101,-0.2339,-0.0402,0.3652,0.6642
"uf150",1.1403,2.474,86.7227,110.6456,-0.2201,-0.0463,0.3494,0.6202
"uf175",1.4833,3.5006,99.3264,124.8448,-0.1958,-0.0422,0.3569,0.6129
"uf200",1.6672,3.6278,110.2783,153.7839,-0.2132,-0.0398,0.3414,0.6012
"uf225",1.6509,4.1375,125.3191,163.2608,-0.187,-0.038,0.352,0.6038
"uf250",1.635,4.337,142.7782,192.432,-0.1752,-0.0411,0.3694,0.5846
