"","a$min","a$max","b$min","b$max","c$min","c$max","d$min","d$max"
"1FlipHC",0.658,4.337,8.1336,154.1342,-0.3048,-0.0312,0.5071,0.953
"1FlipHCrs",0.1445,1.8737,9.2076,172.8171,-1.6333,-0.0654,0.16,0.7031
"2FlipHC",0.3995,3.6842,9.4792,179.794,-0.6184,-0.0935,0.3414,0.7501
"2FlipHCrs",0.1809,1.7199,11.3513,217.7195,-1.6317,-0.1485,0.1631,0.6488
"mFlipHC",0.4856,4.0392,11.4949,192.4318,-0.4923,-0.073,0.3664,0.7759
"mFlipHCrs",0.2249,1.3938,12.567,208.2431,-1.2672,-0.1462,0.2078,0.5866
