"","a$min","a$max","b$min","b$max","c$min","c$max","d$min","d$max"
"uf020",-41.071,0.6169,9.2076,57.4843,-1.6332,0.2569,-0.3353,0.7031
"uf050",0.1809,0.6744,27.7899,46.338,-0.4993,-0.0874,0.2191,0.5224
"uf075",0.3065,0.7946,42.8646,70.4977,-0.481,-0.0829,0.2066,0.4837
"uf100",0.2703,0.9704,55.0604,85.7198,-0.4091,-0.0731,0.2077,0.4829
"uf125",0.2288,1.0199,71.0597,112.8112,-0.4432,-0.0654,0.1905,0.4713
"uf150",0.2367,1.0931,89.3276,124.6129,-0.3665,-0.1024,0.2071,0.3884
"uf175",0.56,1.4432,102.6435,146.8756,-0.3431,-0.0879,0.2086,0.396
"uf200",0.6363,1.6469,124.1987,186.828,-0.3911,-0.0984,0.1964,0.3688
"uf225",0.6998,1.7199,142.2053,197.8124,-0.3751,-0.1034,0.1943,0.3619
"uf250",0.6618,1.8737,159.2889,217.7198,-0.3565,-0.0949,0.1958,0.3684
