"","mean.a","mean.b","mean.c","mean.d"
"uf020",-0.6691,16.9521,-0.3797,0.4929
"uf050",0.7336,31.7432,-0.193,0.4738
"uf075",0.9266,50.4937,-0.2022,0.4187
"uf100",1.0525,66.3194,-0.1807,0.4088
"uf125",1.1303,84.3011,-0.1733,0.3993
"uf150",1.2476,103.4238,-0.1786,0.3783
"uf175",1.5242,120.3906,-0.1704,0.3779
"uf200",1.9564,139.7239,-0.1738,0.3664
"uf225",2.0441,155.3165,-0.1639,0.3707
"uf250",2.0783,173.7254,-0.1618,0.3669
