"","mean.a","mean.b","mean.c","mean.d"
"uf020",-2.0568,20.9468,-0.4843,0.358
"uf050",0.4736,33.7818,-0.2499,0.3545
"uf075",0.5772,53.6149,-0.2568,0.3208
"uf100",0.6182,68.7094,-0.2279,0.3163
"uf125",0.6814,88.1228,-0.2218,0.3078
"uf150",0.706,108.4221,-0.232,0.2865
"uf175",0.9487,126.8567,-0.2262,0.2817
"uf200",1.1689,147.6758,-0.2297,0.274
"uf225",1.2361,165.6099,-0.2232,0.2721
"uf250",1.2606,184.517,-0.2207,0.2699
