"model","instance_file","a","b","c","d","residuals"
"1FlipHC/uf020-01/","decayModelpositive","0.668076830281264","8.13330718492047","-0.142804899633524","0.744003639705439","0.720212687571732"
"1FlipHC/uf020-01/","decayModelpositive","0.668080386540344","8.13325422321193","-0.142800701224484","0.744012065238839","0.720212356612764"
"1FlipHC/uf020-02/","decayModelpositive","0.65800752126939","9.65113587056736","-0.0939028566089499","0.851111513112662","0.596294260963844"
"1FlipHC/uf020-03/","decayModelpositive","0.95653272956322","11.4704459860925","-0.14669378345037","0.736546913692006","0.554353099339507"
"1FlipHC/uf020-04/","decayModelpositive","1.28589622338906","11.0460160043087","-0.0998968805445667","0.952972391119742","0.643862548736025"
"1FlipHC/uf020-05/","decayModelpositive","0.791782514345374","10.1937704767139","-0.0664975408383235","0.916972824917545","0.594153279358456"
"1FlipHC/uf020-06/","decayModelpositive","1.0036010703161","9.82762058244131","-0.0939648837685272","0.813702407903073","0.512341231364393"
"1FlipHC/uf020-07/","decayModelpositive","0.798306365194208","10.5139946719777","-0.172148775736063","0.67642569081721","0.618626406345694"
"1FlipHC/uf020-08/","decayModelpositive","0.662817966596251","13.9620702130582","-0.304799040386721","0.546951970899113","0.473962079622217"
"1FlipHC/uf020-09/","decayModelpositive","0.970986273236448","12.2130996424223","-0.142666239052766","0.782785760562788","0.414986805184878"
"1FlipHC/uf020-10/","decayModelpositive","0.733019921859344","13.3427154343454","-0.257194441385913","0.652266948573114","0.639170820535299"
"1FlipHC/uf050-01/","decayModelpositive","1.00224305532553","26.3177121011315","-0.080911299507528","0.668606250490609","0.44920053356258"
"1FlipHC/uf050-02/","decayModelpositive","1.27340061703699","28.4915440910027","-0.0742012725476343","0.705815304734074","0.352586443158446"
"1FlipHC/uf050-03/","decayModelpositive","0.812111131790745","29.238618257446","-0.0880541967348816","0.662704973084847","0.459031388130852"
"1FlipHC/uf050-04/","decayModelpositive","1.21949947470616","29.7907001789754","-0.0959375451108237","0.618806235251086","0.340343112061881"
"1FlipHC/uf050-05/","decayModelpositive","0.884635391163295","24.0724803483145","-0.0312021328944278","0.918692357511985","0.576493573432031"
"1FlipHC/uf050-06/","decayModelpositive","1.17780624208576","28.0200080798682","-0.0570388059811303","0.719872106824993","0.289116711906008"
"1FlipHC/uf050-07/","decayModelpositive","1.20860694557019","28.1646510443509","-0.0693981579557885","0.704121046267111","0.412263827941335"
"1FlipHC/uf050-08/","decayModelpositive","1.37404273419162","28.0738946040041","-0.0826129441729246","0.688090356735852","0.343288700846871"
"1FlipHC/uf050-09/","decayModelpositive","1.05100964967051","26.8541981787707","-0.0623293967412131","0.718226464375056","0.424663629592893"
"1FlipHC/uf050-10/","decayModelpositive","1.21532293922877","25.8562116458535","-0.0454012257624229","0.806137148601231","0.459375319473452"
"1FlipHC/uf075-01/","decayModelpositive","1.55396123888051","42.0123370688132","-0.0623621898812943","0.644435433983718","0.466033209685427"
"1FlipHC/uf075-02/","decayModelpositive","1.04786289605659","43.668059886665","-0.0775445999728796","0.624540870982205","0.473447750983721"
"1FlipHC/uf075-03/","decayModelpositive","2.35013505978811","44.1571112976123","-0.0977293482541022","0.57306356745137","0.326190601313041"
"1FlipHC/uf075-04/","decayModelpositive","1.81984616188581","40.344084611146","-0.0842381161746202","0.590073878875583","0.294557903131217"
"1FlipHC/uf075-05/","decayModelpositive","1.74393935993601","44.7934307410906","-0.0825777470081177","0.626322469547829","0.307464376381964"
"1FlipHC/uf075-06/","decayModelpositive","1.4205313927518","39.983355640173","-0.0752053864366909","0.605612038843548","0.303445917563264"
"1FlipHC/uf075-07/","decayModelpositive","1.59511044576329","40.8763288620885","-0.0778657135674534","0.589487049879507","0.304842322487849"
"1FlipHC/uf075-08/","decayModelpositive","1.6997226746598","45.9095904692976","-0.0657936114017807","0.668727541548865","0.360905351026084"
"1FlipHC/uf075-09/","decayModelpositive","0.996830418539976","41.8262970739312","-0.044129432451077","0.736024461765829","0.329829754617996"
"1FlipHC/uf075-10/","decayModelpositive","0.758977931601442","41.848231670487","-0.0504548191269749","0.692306550842036","0.353003160894967"
"1FlipHC/uf100-01/","decayModelpositive","1.6720147923398","62.8762342018799","-0.0750627003362205","0.582292833084816","0.338782658558987"
"1FlipHC/uf100-02/","decayModelpositive","1.65376578292489","60.1036034561977","-0.075377763839082","0.579826416784421","0.269201311183224"
"1FlipHC/uf100-03/","decayModelpositive","1.64272679714415","60.7213051630405","-0.0734136237701277","0.579579898002831","0.292508170300388"
"1FlipHC/uf100-04/","decayModelpositive","1.19188125059473","58.0597662403043","-0.0706603994540293","0.584516051349429","0.280896980825263"
"1FlipHC/uf100-05/","decayModelpositive","1.60950473063896","57.3929419396143","-0.0526463795476818","0.636434751132254","0.33940969161764"
"1FlipHC/uf100-06/","decayModelpositive","0.974540078973876","57.9183432018353","-0.0406358857586869","0.720960682780455","0.359937251043879"
"1FlipHC/uf100-07/","decayModelpositive","1.35040744494042","58.1888366728291","-0.0667254947949849","0.590141719681647","0.359052451374377"
"1FlipHC/uf100-08/","decayModelpositive","1.98118054869487","60.1551655272028","-0.0893140040117827","0.551782076017535","0.32590732426344"
"1FlipHC/uf100-09/","decayModelpositive","1.93296993929357","61.1029350874558","-0.0799203354095669","0.574004766984079","0.381066783439193"
"1FlipHC/uf100-10/","decayModelpositive","1.52550697018056","55.7015567903165","-0.0560951274049733","0.628487770868641","0.308547168829325"
"1FlipHC/uf125-01/","decayModelpositive","1.92015248377","75.4687114602752","-0.0646117717132338","0.574305510060002","0.275161002048612"
"1FlipHC/uf125-02/","decayModelpositive","2.53202436306935","74.2715981190819","-0.0688686780864354","0.57063254725714","0.317796445728978"
"1FlipHC/uf125-03/","decayModelpositive","1.31220866686968","76.9488381163947","-0.0613008550908416","0.600559793322468","0.294281002721726"
"1FlipHC/uf125-04/","decayModelpositive","1.82311818360924","70.1363359259081","-0.0507060484330554","0.623086341713147","0.305001722923304"
"1FlipHC/uf125-05/","decayModelpositive","1.52839320926582","70.9683648249734","-0.06103996914957","0.58050065715931","0.272029992811847"
"1FlipHC/uf125-06/","decayModelpositive","2.11960280262813","71.6948937087318","-0.0767495372914941","0.540422910297326","0.291911750875962"
"1FlipHC/uf125-07/","decayModelpositive","1.00419237825079","67.7312744365505","-0.0401532959089283","0.664166457811081","0.367399645762334"
"1FlipHC/uf125-08/","decayModelpositive","1.75559455507715","73.2389621421525","-0.0536606342010526","0.608489140947662","0.313696984414622"
