"","instance_file","model","a","b","c","d","residuals"
"65","CMAES/f19/DIM40","DCMN",1.51687802445591,-0.942710445589367,-13.1830026933225,-0.509306585383432,0.00389239773532163
"66","CMAES/f19/DIM5","DCMN",0,0,0,0,1e+06
"67","CMAES/f2/DIM10","DCMN",6.49446272285729,-957.745612231637,-9.61804288972953,-0.0761534172685394,0.0338701075150243
"68","CMAES/f2/DIM2","DCMN",0,0,0,0,1e+06
"69","CMAES/f2/DIM20","DCMN",7.18968190661562,-588.438673479964,-8.29212289609041,-0.0595741018142548,0.0119103427445164
"70","CMAES/f2/DIM3","DCMN",0,0,0,0,1e+06
"71","CMAES/f2/DIM40","DCMN",7.39517515172334,-644.782278426033,-9.38686825459057,-0.0632767959091557,0.00779529913777079
"72","CMAES/f2/DIM5","DCMN",6.56734561573156,-2288.13771169938,-9.64405489302141,-0.0705442988362666,0.0876449904219278
"73","CMAES/f20/DIM10","DCMN",0,0,0,0,1e+06
"74","CMAES/f20/DIM2","DCMN",0,0,0,0,1e+06
"75","CMAES/f20/DIM20","DCMN",4.54700494661001,-4.2686022530896,-246262.100787827,-2.35217407345464,0.226504872500543
"76","CMAES/f20/DIM3","DCMN",0,0,0,0,1e+06
"77","CMAES/f20/DIM40","DCMN",4.75036990875828,-4.47671496529449,-85280036.4240221,-2.9283026736194,0.129466018083441
"78","CMAES/f20/DIM5","DCMN",3.51864015796242,-3.42203267365558,-55.715870358858,-1.27407454176866,0.459478891962069
"79","CMAES/f21/DIM10","DCMN",0,0,0,0,1e+06
"80","CMAES/f21/DIM2","DCMN",0,0,0,0,1e+06
"81","CMAES/f21/DIM20","DCMN",0,0,0,0,1e+06
"82","CMAES/f21/DIM3","DCMN",0,0,0,0,1e+06
"83","CMAES/f21/DIM40","DCMN",0,0,0,0,1e+06
"84","CMAES/f21/DIM5","DCMN",0,0,0,0,1e+06
"85","CMAES/f22/DIM10","DCMN",0,0,0,0,1e+06
"86","CMAES/f22/DIM2","DCMN",0,0,0,0,1e+06
"87","CMAES/f22/DIM20","DCMN",0,0,0,0,1e+06
"88","CMAES/f22/DIM3","DCMN",0,0,0,0,1e+06
"89","CMAES/f22/DIM40","DCMN",0,0,0,0,1e+06
"90","CMAES/f22/DIM5","DCMN",0,0,0,0,1e+06
"91","CMAES/f23/DIM10","DCMN",1.14582951905575,-0.817623168713207,-2.92939272646795,-0.591341065894431,0.0389712883815923
"92","CMAES/f23/DIM2","DCMN",0,0,0,0,1e+06
"93","CMAES/f23/DIM20","DCMN",1.56405373746493,-41.7290791709262,-4.50209206885777,-0.0299827131444556,0.018434160569321
"94","CMAES/f23/DIM3","DCMN",18.6236967095953,-18.4148955416344,-0.0567177782156311,-0.281809339566713,0.0544168863095051
"95","CMAES/f23/DIM40","DCMN",1.622793440341,-0.0856807580663328,1.78127671508937,0.0392363862760013,0.0104349380267878
"96","CMAES/f23/DIM5","DCMN",1.20552513486257,-0.89994884726184,-6.30577598653039,-1.48999169766242,0.109938170688098
"97","CMAES/f24/DIM10","DCMN",2.44670577591503,-1.3648720903544,-6.35598273182818,-0.359791297935295,0.00629692381366828
"98","CMAES/f24/DIM2","DCMN",0,0,0,0,1e+06
"99","CMAES/f24/DIM20","DCMN",2.78961061234202,-0.800651636665315,-28.7984679246567,-0.695702146066275,0.00134580079472129
"100","CMAES/f24/DIM3","DCMN",2.02753790655683,-0.0433006156589693,2.08761268228568,0.0961935317195939,0.0515091972222743
"101","CMAES/f24/DIM40","DCMN",3.10720094469018,-0.643146085998233,-111.42015365229,-0.850394765964406,0.000944293016063174
"102","CMAES/f24/DIM5","DCMN",1.96809767111788,-0.913637350827797,-11.31309912118,-0.678728825031104,0.0191762391662031
"103","CMAES/f3/DIM10","DCMN",3.10789988792125,-155.149130545452,-6.65632929806196,-0.0586029354539172,0.0174908013730105
"104","CMAES/f3/DIM2","DCMN",0,0,0,0,1e+06
"105","CMAES/f3/DIM20","DCMN",3.38359146417746,-71.8583659798443,-6.46718091429586,-0.0711098277879226,0.0102922514810888
"106","CMAES/f3/DIM3","DCMN",0,0,0,0,1e+06
"107","CMAES/f3/DIM40","DCMN",3.56625442118532,-6.2069774737759,-5.64900650069825,-0.16003295406125,0.00392122323262664
"108","CMAES/f3/DIM5","DCMN",2.48962122407319,-168.773345973532,-7.27339274065797,-0.0733339265766709,0.0219631465333234
"109","CMAES/f4/DIM10","DCMN",3.34336943170851,-241.31629086017,-6.83123554885883,-0.0498962973458695,0.0178410658555532
"110","CMAES/f4/DIM2","DCMN",0,0,0,0,1e+06
"111","CMAES/f4/DIM20","DCMN",3.36174994435674,-3.45429537094341,-6.04114419841703,-0.252486770979006,0.00862669885379833
"112","CMAES/f4/DIM3","DCMN",3.90674840540758,-0.78251318704808,0.686681173413911,0.131067545492971,0.0635303771064247
"113","CMAES/f4/DIM40","DCMN",3.8603320153232,-160.99860724377,-7.58024498019816,-0.0605097906130869,0.00488667142847053
"114","CMAES/f4/DIM5","DCMN",2.64923423510589,-7.42635845278265,-4.90070103806064,-0.194311995346476,0.0487424935913765
"115","CMAES/f5/DIM10","DCMN",0,0,0,0,1e+06
"116","CMAES/f5/DIM2","DCMN",0,0,0,0,1e+06
"117","CMAES/f5/DIM20","DCMN",0,0,0,0,1e+06
"118","CMAES/f5/DIM3","DCMN",0,0,0,0,1e+06
"119","CMAES/f5/DIM40","DCMN",0,0,0,0,1e+06
"120","CMAES/f5/DIM5","DCMN",0,0,0,0,1e+06
"121","CMAES/f6/DIM10","DCMN",0,0,0,0,1e+06
"122","CMAES/f6/DIM2","DCMN",0,0,0,0,1e+06
"123","CMAES/f6/DIM20","DCMN",6.02617194718014,-8.37106554638878,-7.42543332085876,-0.34390013443465,0.0795337403712672
"124","CMAES/f6/DIM3","DCMN",0,0,0,0,1e+06
"125","CMAES/f6/DIM40","DCMN",6.22726188000181,-5.54977914834247,-22.6907775242212,-0.541753400272188,0.0270352436642391
"126","CMAES/f6/DIM5","DCMN",0,0,0,0,1e+06
"127","CMAES/f7/DIM10","DCMN",0,0,0,0,1e+06
"128","CMAES/f7/DIM2","DCMN",0,0,0,0,1e+06
"129","CMAES/f7/DIM20","DCMN",3.12028316566626,-7.17910104001224,-8.15438923052171,-0.267417300193609,0.0235401207679658
"130","CMAES/f7/DIM3","DCMN",0,0,0,0,1e+06
"131","CMAES/f7/DIM40","DCMN",3.48384197243181,-213.835486283891,-10.0811917951463,-0.100264085667901,0.00882947204624288
"132","CMAES/f7/DIM5","DCMN",0,0,0,0,1e+06
"133","CMAES/f8/DIM10","DCMN",4.98641428085614,-7.7562997204743,-9.56303796515613,-0.409387678812608,0.0813661960038594
"134","CMAES/f8/DIM2","DCMN",0,0,0,0,1e+06
"135","CMAES/f8/DIM20","DCMN",5.21847801649282,-5.1923102900705,-106.167823999092,-0.814767804573282,0.0284012518394794
"136","CMAES/f8/DIM3","DCMN",0,0,0,0,1e+06
"137","CMAES/f8/DIM40","DCMN",5.73587471704044,-7.30936749828101,-47.1979435252024,-0.562675402129194,0.0102662354694032
"138","CMAES/f8/DIM5","DCMN",0,0,0,0,1e+06
"139","CMAES/f9/DIM10","DCMN",4.60791715761442,-7.76472429111613,-12.7719324858927,-0.444483291341883,0.0296923628072374
"140","CMAES/f9/DIM2","DCMN",0,0,0,0,1e+06
"141","CMAES/f9/DIM20","DCMN",5.00576655088154,-7.0095321381581,-28.2199386542658,-0.530428415210842,0.0213914020890923
"142","CMAES/f9/DIM3","DCMN",0,0,0,0,1e+06
"143","CMAES/f9/DIM40","DCMN",5.33553203337431,-5.86899219696987,-102.093150409042,-0.696631015335757,0.00968634280616737
"144","CMAES/f9/DIM5","DCMN",0,0,0,0,1e+06
"145","holtschulte2013/ga100/f1/DIM10","DCMN",0,0,0,0,1e+06
"146","holtschulte2013/ga100/f1/DIM2","DCMN",0,0,0,0,1e+06
"147","holtschulte2013/ga100/f1/DIM20","DCMN",0,0,0,0,1e+06
"148","holtschulte2013/ga100/f1/DIM3","DCMN",0,0,0,0,1e+06
"149","holtschulte2013/ga100/f1/DIM40","DCMN",0,0,0,0,1e+06
"150","holtschulte2013/ga100/f1/DIM5","DCMN",0,0,0,0,1e+06
"151","holtschulte2013/ga100/f10/DIM10","DCMN",6.76834807442515,-4.2416957758855,-4.88783097032051,-0.292254724838664,0.0225328025438306
"152","holtschulte2013/ga100/f10/DIM2","DCMN",0,0,0,0,1e+06
"153","holtschulte2013/ga100/f10/DIM20","DCMN",6.86606408631762,-3.22681723305492,-10.5485088628379,-0.36189709703755,0.0130963645374801
"154","holtschulte2013/ga100/f10/DIM3","DCMN",0,0,0,0,1e+06
"155","holtschulte2013/ga100/f10/DIM40","DCMN",7.41782024477826,-3.84333607449261,-7.12045663993773,-0.255016565195609,0.00552915152827401
"156","holtschulte2013/ga100/f10/DIM5","DCMN",20.0856193609577,-126.795039511818,-2.24163359257646,-0.0145362546027642,0.12762813024092
"157","holtschulte2013/ga100/f11/DIM10","DCMN",0,0,0,0,1e+06
"158","holtschulte2013/ga100/f11/DIM2","DCMN",0,0,0,0,1e+06
"159","holtschulte2013/ga100/f11/DIM20","DCMN",162.360926307164,-163.976192364676,-0.0467113498780908,-0.0881983438821883,0.0986444458106888
"160","holtschulte2013/ga100/f11/DIM3","DCMN",0,0,0,0,1e+06
"161","holtschulte2013/ga100/f11/DIM40","DCMN",312.515302369456,-312.7269023137,-0.0207009960425778,-0.111694219758618,0.105696350675234
"162","holtschulte2013/ga100/f11/DIM5","DCMN",0,0,0,0,1e+06
"163","holtschulte2013/ga100/f12/DIM10","DCMN",0,0,0,0,1e+06
"164","holtschulte2013/ga100/f12/DIM2","DCMN",0,0,0,0,1e+06
"165","holtschulte2013/ga100/f12/DIM20","DCMN",0,0,0,0,1e+06
"166","holtschulte2013/ga100/f12/DIM3","DCMN",0,0,0,0,1e+06
"167","holtschulte2013/ga100/f12/DIM40","DCMN",8.98419104344324,-10.9403805198075,-30.6909063744373,-0.325451187556691,0.00988842464341761
"168","holtschulte2013/ga100/f12/DIM5","DCMN",0,0,0,0,1e+06
"169","holtschulte2013/ga100/f13/DIM10","DCMN",0,0,0,0,1e+06
"170","holtschulte2013/ga100/f13/DIM2","DCMN",0,0,0,0,1e+06
"171","holtschulte2013/ga100/f13/DIM20","DCMN",0,0,0,0,1e+06
"172","holtschulte2013/ga100/f13/DIM3","DCMN",0,0,0,0,1e+06
"173","holtschulte2013/ga100/f13/DIM40","DCMN",3.61037682399566,-5.03320088054045,-22.2398962310741,-0.281413323895144,0.0118231009821722
"174","holtschulte2013/ga100/f13/DIM5","DCMN",0,0,0,0,1e+06
"175","holtschulte2013/ga100/f14/DIM10","DCMN",0,0,0,0,1e+06
"176","holtschulte2013/ga100/f14/DIM2","DCMN",0,0,0,0,1e+06
"177","holtschulte2013/ga100/f14/DIM20","DCMN",0,0,0,0,1e+06
"178","holtschulte2013/ga100/f14/DIM3","DCMN",0,0,0,0,1e+06
"179","holtschulte2013/ga100/f14/DIM40","DCMN",0,0,0,0,1e+06
"180","holtschulte2013/ga100/f14/DIM5","DCMN",0,0,0,0,1e+06
"181","holtschulte2013/ga100/f15/DIM10","DCMN",3.27044621385039,-10.7763882834543,-3.32253084883403,-0.0668860730308407,0.00946212167292938
