"","instance_file","model","a","b","c","d","residuals"
"1","CMAES/f1/DIM10","EPMP",-29.727530018553,66.1056879569412,-0.138154784085685,153.97070897739,0.229696644422896
"2","CMAES/f1/DIM2","EPMP",-27.4033236422629,54.3847362507006,-0.176282539074582,31.8181992288144,0.462333834498386
"3","CMAES/f1/DIM20","EPMP",-33.2597816959109,75.9023521455888,-0.126409220556587,287.813653448554,0.19615796303749
"4","CMAES/f1/DIM3","EPMP",-26.9305669464758,55.7497199859444,-0.165638187589037,48.0653808591246,0.375289500275489
"5","CMAES/f1/DIM40","EPMP",-36.2243219181402,84.1141477608057,-0.117122980361066,496.618203122659,0.221347800155398
"6","CMAES/f1/DIM5","EPMP",-27.2284803663321,58.0419852057555,-0.152272993773643,82.4319246454319,0.341044160003709
"7","CMAES/f10/DIM10","EPMP",-222.210525808965,234.496970811615,-0.00572416652946134,67.3175017195888,0.137670105442596
"8","CMAES/f10/DIM2","EPMP",-140.057790545947,161.902497188038,-0.0277913853296787,38.9134681843939,0.281967218627962
"9","CMAES/f10/DIM20","EPMP",-85.2743104299871,99.7920677102563,-0.0145648186054568,266.054150807559,0.0691060019554392
"10","CMAES/f10/DIM3","EPMP",-64.0513072574545,82.1833484038365,-0.0401629919117435,56.0333177276449,0.361387212280284
"11","CMAES/f10/DIM40","EPMP",-89.1692707558308,103.655486369906,-0.0118419430276899,516.165731870132,0.0347921885202997
"12","CMAES/f10/DIM5","EPMP",-71.6764072992167,84.2363016760202,-0.021198614054052,37.4904197918246,0.192210288155691
"13","CMAES/f11/DIM10","EPMP",1.6603892117397,8.53751144728511,-0.524617144633352,2.51078435075954,0.358402574984571
"14","CMAES/f11/DIM2","EPMP",-132.803656383926,163.823862566018,-0.0391328183555588,70.9116836954705,0.290716202710733
"15","CMAES/f11/DIM20","EPMP",2.57703548149409,37.0641363897203,-0.953957921598119,8.86513103276613,0.667234300310606
"16","CMAES/f11/DIM3","EPMP",-97.4691116926198,104.405919231866,-0.0106784187402767,0.867049530360393,0.536283440539346
"17","CMAES/f11/DIM40","EPMP",2.78332225346409,11.0834640882484,-0.859027435961437,2.20065987815943,0.701581293361984
"18","CMAES/f11/DIM5","EPMP",1.15497537345599,228.531751238411,-1.11798536365512,28.5506056266202,0.397297391201637
"19","CMAES/f12/DIM10","EPMP",-115.809124755722,289.934028493418,-0.116338829516221,1461.85975212896,0.072937148006199
"20","CMAES/f12/DIM2","EPMP",-55.8053613658816,387.728338478103,-0.32108842148334,304.412760237177,0.541094376961147
"21","CMAES/f12/DIM20","EPMP",-123.249562190537,311.267390022666,-0.108465936205052,2689.67320818187,0.0721677433105429
"22","CMAES/f12/DIM3","EPMP",-145.425478047307,179.599997632015,-0.0351159352090732,106.693561986267,0.232453116861743
"23","CMAES/f12/DIM40","EPMP",-123.858489034969,315.043420436976,-0.102105312852694,4571.09166978506,0.0426794538682163
"24","CMAES/f12/DIM5","EPMP",-113.473855820172,278.235693593028,-0.124987066155139,786.564791796884,0.112406738206924
"25","CMAES/f13/DIM10","EPMP",-42.2892924262034,105.684579108793,-0.119053171771853,1158.83070770281,0.0533247535342681
"26","CMAES/f13/DIM2","EPMP",-40.8245724767697,95.5550941642713,-0.147440059145693,216.728150133358,0.251707887682205
"27","CMAES/f13/DIM20","EPMP",-43.6308088288321,108.081876156443,-0.107680363989376,2217.59092214726,0.0269130068732106
"28","CMAES/f13/DIM3","EPMP",-80.4158621210712,103.1800863263,-0.0407530133223585,198.873679989615,0.116404287980966
"29","CMAES/f13/DIM40","EPMP",-44.0099396577822,112.345345858141,-0.103415434664164,3898.65598368005,0.0251657792746691
"30","CMAES/f13/DIM5","EPMP",-41.2038669349548,100.99624685107,-0.128579487432626,611.99785733739,0.065493369734274
"31","CMAES/f14/DIM10","EPMP",-14.5702190782952,97.384839011237,-0.288839161329916,493.237754185385,0.0537965011159035
"32","CMAES/f14/DIM2","EPMP",-26.3618356235714,56.5810607105349,-0.167926194286341,78.2179118271553,0.359873852640937
"33","CMAES/f14/DIM20","EPMP",-27.014084904716,77.9882659848475,-0.143965659079776,982.735663031115,0.0306243130764058
"34","CMAES/f14/DIM3","EPMP",-44.555377035063,76.0825257506237,-0.102131744247084,149.90507908835,0.142863514042342
"35","CMAES/f14/DIM40","EPMP",-43.3268316077173,84.1955365377476,-0.0826996986469466,1702.23130061348,0.0183058085721935
"36","CMAES/f14/DIM5","EPMP",-85.4865448230831,116.719842471981,-0.0519511100919327,311.134332213854,0.0836701225133233
"37","CMAES/f15/DIM10","EPMP",-53.5006458554805,59.8568517783205,-0.0132235240592695,112.208111707747,0.040657490702777
