"algorithms_instances_names","20iter_6hiddensize_50maxiter","20iter_6hiddensize_100maxiter","20iter_6hiddensize_150maxiter","20iter_6hiddensize_200maxiter","20iter_6hiddensize_250maxiter"
"mFlipHCrs/uf250-10/",0.629936382890868,0.238628843194125,0.0707046595910781,0.0678414535276681,0.230528996193074
"mFlipHCrs/uf250-09/",0.871115368327241,0.191982813776705,0.171961483134275,0.165067553928547,0.0700029009794563
"mFlipHCrs/uf250-08/",0.979391011303993,0.192512524846149,0.188201765911269,0.179438786144313,0.0904942663415956
"mFlipHCrs/uf250-07/",0.738908103946318,0.0529352264243894,0.177183786982359,0.722168451089166,0.173329602959614
"mFlipHCrs/uf250-06/",0.94469746736657,0.230421541234358,0.213644039293686,0.081336779197791,1.10153968745822
"mFlipHCrs/uf250-05/",0.26186624093812,0.0680583586245031,0.180252158185137,0.177259314773268,0.0687370683046368
"mFlipHCrs/uf250-04/",0.164178425803724,0.215502031570066,0.205307608437368,0.059822506722225,0.191772529859142
"mFlipHCrs/uf250-03/",0.326609840908825,0.0793050068479391,0.176540966270257,0.178751499963369,0.0713096224756404
"mFlipHCrs/uf250-02/",0.218405992717429,0.059730600762467,0.113626259893926,0.617503325361231,0.04691463277723
"mFlipHCrs/uf250-01/",0.322866429481757,1.1221623270362,0.0838334123155457,1.45825746898963,0.19230748628806
"mFlipHCrs/uf225-10/",0.696407956969193,0.624593744983244,0.1249660847287,0.621959108491101,0.123995621563684
"mFlipHCrs/uf225-09/",0.282435984007785,0.168835354557159,0.0607937307228378,0.110835019159907,0.0567583065634812
"mFlipHCrs/uf225-08/",0.170740391090375,0.0620625846254462,0.549507928486962,0.0552557397456188,0.0978953822419935
"mFlipHCrs/uf225-07/",0.296588724041474,0.280240617580688,0.270076118085457,0.0564041189747729,0.269125888112389
"mFlipHCrs/uf225-06/",0.763021950248698,0.172380517069961,0.146113004373377,0.0550431605674712,0.0554962938701118
"mFlipHCrs/uf225-05/",0.912501111415079,0.841439961280209,0.0796654571543248,0.0803500331986793,0.0814972381617082
"mFlipHCrs/uf225-04/",0.220285436326815,0.201794589352174,0.0967330933559903,0.150686820405839,0.0814991485279483
"mFlipHCrs/uf225-03/",0.535832042903162,0.548980146697427,0.153992209398742,0.0370895853826801,0.0366419323562444
"mFlipHCrs/uf225-02/",0.563654300535286,0.120402190349236,0.176058671670825,0.175762645307155,0.0570575873266088
"mFlipHCrs/uf225-01/",0.492677159875545,0.0973392567101481,0.207677603326329,0.202391665940883,0.0596774126364036
"mFlipHCrs/uf200-10/",0.435153295496255,0.749114084851711,0.0713867355130294,0.214795620044301,0.0688808328538516
"mFlipHCrs/uf200-09/",0.579804342087162,0.076021247474262,0.177713442512144,0.221741416403167,0.171123755498558
"mFlipHCrs/uf200-08/",0.272686064851119,0.141144184491422,0.14332146096878,0.140124024443498,0.140761921232411
"mFlipHCrs/uf200-07/",0.639462983783894,0.217907798400125,0.0782218050152139,0.0724137448052007,0.0722965085019374
"mFlipHCrs/uf200-06/",0.118330595037202,0.0531169297853346,0.0503653906797228,0.0332481505832821,0.0463680043256416
"mFlipHCrs/uf200-05/",0.151719475931568,0.117403495863941,0.111424668825484,0.0500954838616837,0.516212424396719
"mFlipHCrs/uf200-04/",0.131719828595369,0.151268050822668,0.974445262450704,0.0960488002198404,0.0993398622075471
"mFlipHCrs/uf200-03/",0.835428803374554,0.195924140057898,0.0672065928019712,0.188306135596854,0.0663179492117693
"mFlipHCrs/uf200-02/",0.354756697282851,0.0790294038838228,0.236285742816252,0.164764490346084,0.0713639759878056
"mFlipHCrs/uf200-01/",0.157924098228814,0.150175867248998,0.455776704884184,0.0414180053310439,0.0340916460193615
"mFlipHCrs/uf175-10/",0.418549967239557,0.156514924315631,0.0590828621674682,0.810945905217196,0.0570826970985305
"mFlipHCrs/uf175-09/",0.168799335023367,0.420980528926118,0.0890194817155459,0.0472841062104208,0.0473515984315292
"mFlipHCrs/uf175-08/",0.872681177792243,0.165772686223772,0.08223371095851,0.15350407764553,0.0778142728384065
"mFlipHCrs/uf175-07/",0.828177542332011,0.185543326747474,0.0820009897132325,0.107701004246725,0.0955071206817303
"mFlipHCrs/uf175-06/",0.749594914043411,0.196545495950685,0.178845556155982,0.0759212690887695,0.188909667005199
"mFlipHCrs/uf175-05/",0.196714188209818,0.0507842101734598,0.0529679029504354,0.0541407274122357,0.101220031410814
"mFlipHCrs/uf175-04/",0.854380652723764,0.17497883677581,0.0777443202888933,0.0759615951975563,0.0757320335386268
"mFlipHCrs/uf175-03/",0.390349610962651,0.111036208185239,0.105197746975837,0.0978719713817433,0.90334358098514
"mFlipHCrs/uf175-02/",0.48939806942374,0.162005138001103,0.215814235916181,0.211340640910375,0.212086515228564
"mFlipHCrs/uf175-01/",0.632904359874277,0.218081657503177,0.207222100196776,0.0734949231265714,0.0734038353568242
"mFlipHCrs/uf150-10/",0.381582662028452,0.085827217296151,0.0803678259728935,0.0785881207631387,0.190641802556578
"mFlipHCrs/uf150-09/",0.398778220145296,0.086968022246305,0.0803096874793623,0.0817850058212012,0.0819602361817132
"mFlipHCrs/uf150-08/",0.363043530059778,0.171336078003751,0.166661395791793,0.109306557208866,0.165298247150412
"mFlipHCrs/uf150-07/",0.347491993861978,0.108847743275592,0.102952917085295,0.065642739706606,0.182915283120844
"mFlipHCrs/uf150-06/",0.205043644897243,0.206408943360217,0.101744588419758,0.203357462212605,0.112909016850293
"mFlipHCrs/uf150-05/",0.24764194095191,0.727882871419658,0.0826089805166062,0.0820194410207787,0.0821392531437928
"mFlipHCrs/uf150-04/",0.419484252614189,0.178045244713381,0.113696223292184,0.111492771168003,0.112237798473865
"mFlipHCrs/uf150-03/",0.16010096948873,0.0717625603860953,0.193701121933388,0.0621767069835057,0.0800280240390383
"mFlipHCrs/uf150-02/",0.24648345404549,0.749594829711539,0.135385892808852,0.0793343081389212,0.0789612770116328
"mFlipHCrs/uf150-01/",0.316989909305741,0.126952302243175,0.072778226586799,7.18516122285835,0.0719949700480401
"mFlipHCrs/uf125-10/",0.552740366770689,0.0852614760838982,0.0835829557504642,0.082384534561745,0.081142142582849
"mFlipHCrs/uf125-09/",0.775778324083854,0.200415894861357,0.201144583369759,0.116239603105378,0.0966846997667835
"mFlipHCrs/uf125-08/",0.767972482159663,0.0841215873072606,0.0834489483988765,0.0819342333986939,0.726012467276215
"mFlipHCrs/uf125-07/",0.56907536271653,0.122007481082165,0.119039522847361,0.157753230302203,0.11790429097804
"mFlipHCrs/uf125-06/",0.409019742876955,0.171515903694667,0.164873988566786,0.163577643022316,0.0801392292543003
"mFlipHCrs/uf125-05/",0.125585074428226,0.0869292963986661,0.0905809391024939,0.090080486693973,0.0906774213129205
"mFlipHCrs/uf125-04/",0.216536982650337,0.0970888675822203,0.172843506092734,0.102168620795448,0.100836733124967
"mFlipHCrs/uf125-03/",0.623565495708973,0.143168413141349,0.131127536093334,0.131212375799973,0.129772507527785
"mFlipHCrs/uf125-02/",0.20555163813131,0.215827061939709,0.100699589091413,0.0974428132800907,0.208790279889692
"mFlipHCrs/uf125-01/",0.420682894908523,0.0823721065107505,0.175400874401103,0.172024954213218,0.0787116341118398
"mFlipHCrs/uf100-10/",0.126847093729924,0.156318738586453,0.107234716125754,0.104997551116918,0.104227395070775
"mFlipHCrs/uf100-09/",0.234629476688046,0.0905401332507575,0.0867094286958382,0.0912603517231052,0.090855478483319
"mFlipHCrs/uf100-08/",0.31791710197155,0.0938858148083264,0.138520486846457,0.109349739254467,0.0735854182741087
"mFlipHCrs/uf100-07/",0.238695570748457,0.11446951206019,0.0909955417855369,0.111001712649911,0.111628920099074
"mFlipHCrs/uf100-06/",0.183443692937068,0.17744329384178,0.182318046166914,0.182871761616834,0.184101274087506
"mFlipHCrs/uf100-05/",0.250305117705131,0.111681874192689,0.108930117267683,0.106378032154616,0.11776722392319
"mFlipHCrs/uf100-04/",0.173210679625892,0.129766237369089,0.115738079490418,0.114415444767801,0.0859300037150042
"mFlipHCrs/uf100-03/",0.203767364749723,0.120058979119687,0.128447899341961,0.107560729889282,0.107774381089137
"mFlipHCrs/uf100-02/",0.34009451120894,0.0832543296607515,0.13150927438109,0.0846089569815981,0.0837957432816123
"mFlipHCrs/uf100-01/",0.145532434629688,0.12087200637625,0.119020910151545,0.110063606675738,0.116526574952546
"mFlipHCrs/uf075-10/",0.165722680684435,0.126548083947744,0.128083639933142,0.125772102375916,0.126219979400999
"mFlipHCrs/uf075-09/",0.157305628716632,0.136059755095123,0.15855024930766,0.114262934276302,0.11363141636272
"mFlipHCrs/uf075-08/",0.209741167259539,0.168052647940271,0.16539484304198,0.170002078751413,0.165960728871486
"mFlipHCrs/uf075-07/",0.172101657723506,0.17514244772332,0.0986025447217165,0.172048720373501,0.096936718949759
"mFlipHCrs/uf075-06/",0.183347586503661,0.118275558940091,0.117401322843389,0.11749807223375,0.117441235976908
"mFlipHCrs/uf075-05/",0.177024874063787,0.103017491092873,0.181426499655932,0.101927079145653,0.101770560259471
"mFlipHCrs/uf075-04/",0.328915710360618,0.123846669194741,0.121033746674716,0.12187073165331,0.121420907296361
"mFlipHCrs/uf075-03/",0.375046292575544,0.124610425858382,0.16356842048311,0.118768537738212,0.117310416233527
"mFlipHCrs/uf075-02/",0.179842464513399,0.177639271082137,0.156937219467693,0.121274927264922,0.121189734109903
"mFlipHCrs/uf075-01/",0.205185511591718,0.212652318905189,0.212636103276801,0.192021908038997,0.20770765766763
"mFlipHCrs/uf050-10/",0.206269662330885,0.208525989518091,0.199707549615491,0.18718056978572,0.200125230312734
"mFlipHCrs/uf050-09/",0.150312300156852,0.146440495633465,0.144675778489862,0.144003661015226,0.143558335513908
"mFlipHCrs/uf050-08/",0.192838576125062,0.16553479073094,0.168112422674619,0.16810650804124,0.168045617524594
"mFlipHCrs/uf050-07/",0.188537226924932,0.170930277671601,0.16144549095415,0.159441248945409,0.15509363783241
"mFlipHCrs/uf050-06/",0.163202850521387,0.122018190497389,0.121084041638452,0.118546395171085,0.119199079269917
"mFlipHCrs/uf050-05/",0.382408128617648,0.344281175880118,0.341509513773478,0.342370007960002,0.342576249933633
"mFlipHCrs/uf050-04/",0.187044169447225,0.130908655037746,0.13102223312003,0.130135927027516,0.129689661987263
"mFlipHCrs/uf050-03/",0.240117804219911,0.261172135003377,0.25847645140513,0.25355867169996,0.257519345888611
"mFlipHCrs/uf050-02/",0.14625806138282,0.146900585908394,0.143365079748381,0.145632223891435,0.145200173964774
"mFlipHCrs/uf050-01/",0.204173754452928,0.184339517777668,0.188609413688833,0.187144703158127,0.163212546687874
"mFlipHCrs/uf020-10/",0.435660683672959,0.381411109026906,0.35539417703151,0.352921409931514,0.379770818411021
"mFlipHCrs/uf020-09/",0.263801847230169,0.282235649789972,0.282375664097692,0.282176550886667,0.282293272933531
"mFlipHCrs/uf020-08/",0.312906594468154,0.323252645500696,0.307148727167408,0.322930820857906,0.326460432491664
"mFlipHCrs/uf020-07/",0.295476366415319,0.291841180909905,0.290362687929758,0.291967343239522,0.279775086375649
"mFlipHCrs/uf020-06/",0.285387697720374,0.281714900167931,0.277570010680271,0.263074403125445,0.278751872994065
"mFlipHCrs/uf020-05/",0.401969840800199,0.381526243628787,0.365027151523575,0.341018514797567,0.352346117223961
"mFlipHCrs/uf020-04/",0.319709598306785,0.306457534674209,0.312650640239355,0.315033153043313,0.315025897985679
"mFlipHCrs/uf020-03/",0.321230272761272,0.293613465959511,0.283836378702445,0.283362085582681,0.342079140067544
"mFlipHCrs/uf020-02/",0.614038772323717,0.620943822937971,0.621001115122121,0.440185451355031,0.592656619743252
"mFlipHCrs/uf020-01/",0.281390071340548,0.276600743137046,0.263005079950362,0.251502417688529,0.266353358424194
"mFlipHCrs/uf020-01/",0.277013745935114,0.267721736001997,0.281612793067709,0.261067958278372,0.281430667865596
"mFlipHC/uf250-10/",0.136916941272439,0.611817982380635,0.05088384657603,0.0449525561321121,0.0482591757602376
"mFlipHC/uf250-09/",0.127948106027703,0.0622305832059309,0.0421797278318848,0.047135799217103,0.0473330532901456
"mFlipHC/uf250-08/",0.139959569399825,0.139020075796474,0.136397138631302,0.062574760833771,0.0576003576237419
"mFlipHC/uf250-07/",0.084580210612132,0.0856820831760172,0.0369586309755955,0.0798332814860584,0.0797730183734742
"mFlipHC/uf250-06/",0.263567620455058,0.056917841224872,0.0977112200109617,0.0975225127237896,0.440901030612443
"mFlipHC/uf250-05/",0.290040313256292,0.0579682273878867,0.0384120064084093,0.0536738959397397,0.0379890932301557
"mFlipHC/uf250-04/",0.147418996105405,0.081804771078234,0.0807157280783452,0.0820270952970719,0.129947725977725
"mFlipHC/uf250-03/",0.217985042121087,0.0655055946145302,5.01719565336065,0.0301119956766777,0.0520918907318931
"mFlipHC/uf250-02/",0.115141348644751,0.0715588833351662,0.490681766949811,0.0469513465239582,0.0812118472560436
"mFlipHC/uf250-01/",0.736653177888222,0.0630482119247976,0.0642930792700758,0.150866893726976,0.150333433656873
"mFlipHC/uf225-10/",0.300894769886569,0.0460350234600415,0.0438146510632989,0.0750234517461155,0.0758115990298936
"mFlipHC/uf225-09/",0.129011808179745,0.0346009257457937,0.0493942108946388,0.0313842328503299,0.199706527858117
"mFlipHC/uf225-08/",0.234878531661639,0.0995559397881024,0.0388924075068887,0.0449393366322701,0.0448610357426608
"mFlipHC/uf225-07/",0.275896379184289,0.176035578055572,0.127545489824335,0.0758953345751484,0.0752952163059263
"mFlipHC/uf225-06/",0.324565240441936,0.0825957418004365,0.089515336401154,0.0496825907767266,0.31986142354077
"mFlipHC/uf225-05/",0.129389269545262,0.185385771839983,0.0798565875644466,0.0804479678153772,0.0789931751791954
"mFlipHC/uf225-04/",0.0919028022801516,0.0865291388289378,0.0801668563412229,0.0401361214406443,0.0770899928309478
"mFlipHC/uf225-03/",0.173584441604113,0.0745431628048709,0.0716317465483553,0.0363016638198397,0.0358551869294818
"mFlipHC/uf225-02/",0.1391917198932,0.0914477199197916,0.0920370887946963,0.115951826509306,0.117315365543808
"mFlipHC/uf225-01/",0.197676737443562,0.10285860500503,0.102462101028921,0.0478017855833361,0.0586338215917469
"mFlipHC/uf200-10/",0.0900112821120403,0.0925612365098829,0.356911317885804,0.0875645496735741,0.0878382847806787
"mFlipHC/uf200-09/",0.191259026480895,0.0624831005665503,0.077948230428727,0.0753426532366069,0.0556614716739063
"mFlipHC/uf200-08/",0.0804581295001193,0.0773611077186386,0.0430324180935788,0.0429733450774844,0.0788340184300807
"mFlipHC/uf200-07/",0.323631803716494,0.0498032335380857,0.0488363572476277,0.0947597497011873,0.0488240883886296
"mFlipHC/uf200-06/",0.0865978631903968,0.0767387467119896,0.0761759133429698,0.276866047759481,0.0457614020231092
"mFlipHC/uf200-05/",0.0989178133693305,0.0679663797385576,0.0475091798198702,0.0471675746000602,0.0728692259307242
"mFlipHC/uf200-04/",0.586698047605233,0.545519972511886,0.124179908328134,0.0760793886133351,0.0755250650623043
"mFlipHC/uf200-03/",0.0982393214299342,0.124375085951619,0.120364842142998,0.120139016281687,0.0703346226379205
"mFlipHC/uf200-02/",0.0553988455443389,0.107387380311729,0.0520247161566447,0.0283059956534399,0.0282638073936402
"mFlipHC/uf200-01/",0.150344410559418,0.218199374041061,0.043533319290131,0.0681526960312007,0.0441114266504384
"mFlipHC/uf175-10/",0.140586613150622,0.133098483549867,0.106513586802027,0.127165766032962,6.21111761821839
"mFlipHC/uf175-09/",0.0946653671511854,0.0727784579264481,0.0472921124355863,0.0466321143796707,0.0458000130156893
"mFlipHC/uf175-08/",0.112156656698519,0.0906397537605032,0.105436803274162,0.0832993069669217,0.0859750722582705
"mFlipHC/uf175-07/",0.164832451708942,0.125473147881578,0.104725867936905,0.0917900706613826,0.0904127003689727
"mFlipHC/uf175-06/",0.259662821260206,0.0876884306710871,0.085170332171034,0.0846196219146806,0.0772716551840922
"mFlipHC/uf175-05/",0.293844056873928,0.0857386114594535,0.0748297288051259,0.0468465161688086,0.0471440016622223
"mFlipHC/uf175-04/",0.117579354945764,0.105042672835487,0.0990855698087073,0.100123764088659,0.104974031925842
"mFlipHC/uf175-03/",0.248987537895142,0.129540314481913,0.0777088350100145,0.116271762238882,0.490124056417744
"mFlipHC/uf175-02/",0.40474558027817,0.0971057722427633,0.0909853300324708,0.0524836894074179,0.0524154993324922
"mFlipHC/uf175-01/",0.0687383906775093,0.0264337221634781,0.0520542866924341,0.266605175707154,0.0246264219126089
"mFlipHC/uf150-10/",0.113530772869113,0.136836520128081,0.13256902285174,0.0868683777973371,0.131154091763048
